state,family,variant,edits,task,branch,correct,denominator,invalid,accuracy,weighted_f1,mcc,delta_accuracy_pp,delta_f1_pp,probability_ties,prompt_order_sha256,parameter_root,source_head
W0,W0,W0,0,nli,generation,67,100,0,0.67,0.665958092924385,0.3485392564445101,0.0,0.0,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,nli,alternative,67,100,0,0.67,0.665958092924385,0.3485392564445101,0.0,0.0,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,generation,72,100,26,0.72,0.8250265111346766,0.6122474999736546,-1.0000000000000009,-0.6077606358111165,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,alternative,98,100,0,0.98,0.9799919967987194,0.9607689228305227,0.0,0.0,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,generation,69,100,0,0.69,0.6756982948007113,0.41872166058519694,1.9999999999999907,1.805746068928904,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,alternative,69,100,0,0.69,0.6756982948007113,0.41872166058519694,1.9999999999999907,1.805746068928904,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,generation,77,100,1,0.77,0.7703231117513891,0.5652408813133568,1.0000000000000009,0.9649876940223345,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,alternative,72,100,0,0.72,0.7083333333333335,0.48007935851918326,-2.0000000000000018,-2.2960589775389173,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,generation,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,alternative,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,53,100,12,0.53,0.569240542066629,0.40520279445001883,1.0000000000000009,0.6844692952858389,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,alternative,62,100,0,0.62,0.6251598651319614,0.49881721242758986,1.0000000000000009,1.4160274038693577,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,generation,66,100,0,0.66,0.6565656565656566,0.32659863237109044,-1.0000000000000009,-0.939243635872844,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,alternative,67,100,0,0.67,0.665958092924385,0.3485392564445101,0.0,0.0,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,45119c791eee716116c97919770a06356758bb960e4b11a92cc3cbb3c9105d68,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,generation,77,100,20,0.77,0.8553948832035594,0.6549955085834511,4.0000000000000036,2.42907657107716,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,alternative,98,100,0,0.98,0.9799919967987194,0.9607689228305227,0.0,0.0,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,generation,66,100,0,0.66,0.6392190152801358,0.3647686020700426,-1.0000000000000009,-1.8421818831286463,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,alternative,66,100,0,0.66,0.6392190152801358,0.3647686020700426,-1.0000000000000009,-1.8421818831286463,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,generation,73,100,1,0.73,0.729368182753653,0.4830240258495958,-3.0000000000000027,-3.130505205751277,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,alternative,69,100,0,0.69,0.6756982948007113,0.41872166058519694,-5.000000000000004,-5.559562830801134,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,generation,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,alternative,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,generation,48,100,13,0.48,0.5193563542400752,0.342195681258897,-4.0000000000000036,-4.3039494873695405,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,alternative,58,100,0,0.58,0.5838421214924453,0.443984134271938,-3.0000000000000027,-2.715746960082255,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,generation,68,100,0,0.68,0.6767676767676767,0.3674234614174767,1.0000000000000009,1.080958384329167,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,alternative,68,100,0,0.68,0.6767676767676767,0.3674234614174767,1.0000000000000009,1.080958384329167,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,a41317a007e1c150fd1224b3b8ea1f9a6404433b61e98635392b44fd932cdea1,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,generation,81,100,16,0.81,0.880307510348906,0.7005736827737392,8.000000000000007,4.920339285611819,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,alternative,95,100,0,0.95,0.949954959463517,0.9016243871634686,-3.0000000000000027,-3.0037037335202355,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,generation,65,100,0,0.65,0.6266666666666667,0.34641016151377546,-2.0000000000000018,-3.0974167444755563,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,alternative,65,100,0,0.65,0.6266666666666667,0.34641016151377546,-2.0000000000000018,-3.0974167444755563,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,generation,70,100,1,0.7,0.6959908599916909,0.4296079858656532,-6.000000000000005,-6.468237481947492,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,alternative,67,100,0,0.67,0.651567944250871,0.3829178477597087,-6.999999999999995,-7.972597885785171,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,generation,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,alternative,64,100,0,0.64,0.6043956043956044,0.35,-2.0000000000000018,-2.668078449328448,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,generation,49,100,15,0.49,0.5350401940266396,0.36323420847735793,-3.0000000000000027,-2.7355655087131003,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,alternative,59,100,0,0.59,0.5922428130197196,0.45843506899089165,-2.0000000000000018,-1.8756778073548253,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,generation,70,100,0,0.7,0.695616883116883,0.41204282171516454,2.9999999999999916,2.9658790192497952,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,alternative,69,100,0,0.69,0.6846709388668498,0.3935341851340934,1.9999999999999907,1.8712845942464806,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,2e7927bd0234fe85c562e8acc2706e606ca2c5088370c788f94ffd1b4b14c0d7,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,generation,84,100,13,0.84,0.8984661172161174,0.7373392759254996,10.999999999999998,6.736199972332956,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,alternative,96,100,0,0.96,0.959983993597439,0.9207368843792509,-2.0000000000000018,-2.0008003201280378,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,generation,68,100,0,0.68,0.6637242538881885,0.40089186286863654,1.0000000000000009,0.6083419776766186,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,alternative,68,100,0,0.68,0.6637242538881885,0.40089186286863654,1.0000000000000009,0.6083419776766186,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,generation,67,100,2,0.67,0.6623376623376623,0.39158203279148446,-8.999999999999996,-9.833557247350344,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,cola,alternative,64,100,0,0.64,0.6138996138996139,0.3278050340535929,-9.999999999999998,-11.739430920910877,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,generation,66,100,0,0.66,0.6310763888888888,0.38624363966821407,0.0,0.0,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,rte,alternative,65,100,0,0.65,0.6224786970121885,0.3564363423913181,-1.0000000000000009,-0.8597691876700342,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,generation,47,100,14,0.47,0.5105765295878859,0.33254583848527947,-5.000000000000004,-5.18193195258847,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mmlu,alternative,57,100,0,0.57,0.5702337432148,0.4304716332113396,-4.0000000000000036,-4.076584787846782,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,generation,73,100,0,0.73,0.7297567811029927,0.4608302423279951,5.999999999999995,6.379868817860768,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,nli,alternative,72,100,0,0.72,0.719551282051282,0.44141479464782035,4.999999999999993,5.359318912689703,0,fc5b20e122a4b2c25b398e6ab558ebc396c25d9f2fe107e36bb1eb0fbe1e4713,adb6b28142b0b03506d57981fd2613d95c149dd76bf487fe2a07612fae491a0b,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,generation,84,100,13,0.84,0.8984661172161174,0.7373392759254996,10.999999999999998,6.736199972332956,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,sst2,alternative,96,100,0,0.96,0.959983993597439,0.9207368843792509,-2.0000000000000018,-2.0008003201280378,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,generation,64,100,0,0.64,0.6138996138996139,0.3278050340535929,-3.0000000000000027,-4.374122021180837,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mrpc,alternative,64,100,0,0.64,0.6138996138996139,0.3278050340535929,-3.0000000000000027,-4.374122021180837,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,generation,66,100,2,0.66,0.6532051282051282,0.3661209184158558,-9.999999999999998,-10.746810660603757,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,cola,alternative,64,100,0,0.64,0.6179966044142614,0.31917252681128727,-9.999999999999998,-11.329731869446125,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,generation,65,100,0,0.65,0.6224786970121885,0.3564363423913181,-1.0000000000000009,-0.8597691876700342,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,rte,alternative,65,100,0,0.65,0.6224786970121885,0.3564363423913181,-1.0000000000000009,-0.8597691876700342,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,mmlu,generation,42,100,21,0.42,0.4697637728125533,0.29005157744801746,-10.000000000000004,-9.263207630121729,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,0301c066fb5486a8aa9f25a6fed3b6a1327b46fc825f310bddd62d392330cc28,257fe5483dc3407690fec9c9bb45cc7dcda91215
