state,family,variant,edits,task,branch,denominator,W0_correct,endpoint_correct,lost,gained,still_correct,still_wrong
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,sst2,alternative,100,98,93,6,1,92,1
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,generation,100,67,64,10,7,57,26
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mrpc,alternative,100,67,64,10,7,57,26
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,generation,100,76,71,6,1,70,23
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,cola,alternative,100,74,65,9,0,65,26
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,generation,100,66,68,3,5,63,29
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,rte,alternative,100,66,68,3,5,63,29
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,generation,100,52,39,22,9,30,39
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,mmlu,alternative,100,61,54,16,9,45,30
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,generation,100,67,64,14,11,53,22
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,nli,alternative,100,67,62,16,11,51,22
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,sst2,generation,100,73,72,12,11,61,16
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,sst2,alternative,100,98,93,6,1,92,1
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,mrpc,generation,100,67,57,17,7,50,26
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,mrpc,alternative,100,67,57,17,7,50,26
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,cola,generation,100,76,66,11,1,65,23
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,cola,alternative,100,74,66,8,0,66,26
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,rte,generation,100,66,65,5,4,61,30
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,rte,alternative,100,66,65,5,4,61,30
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,mmlu,generation,100,52,38,23,9,29,39
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,mmlu,alternative,100,61,54,17,10,44,29
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,nli,generation,100,67,68,9,10,58,23
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,nli,alternative,100,67,67,10,10,57,23
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,sst2,generation,100,73,73,11,11,62,16
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,sst2,alternative,100,98,94,5,1,93,1
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,mrpc,generation,100,67,58,16,7,51,26
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,mrpc,alternative,100,67,58,16,7,51,26
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,cola,generation,100,76,67,12,3,64,21
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,cola,alternative,100,74,64,13,3,61,23
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,rte,generation,100,66,62,8,4,58,30
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,rte,alternative,100,66,62,8,4,58,30
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,mmlu,generation,100,52,43,23,14,29,34
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,mmlu,alternative,100,61,56,19,14,42,25
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,nli,generation,100,67,59,17,9,50,24
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,nli,alternative,100,67,59,17,9,50,24
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,sst2,generation,100,73,78,8,13,65,14
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,sst2,alternative,100,98,94,5,1,93,1
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,mrpc,generation,100,67,57,16,6,51,27
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,mrpc,alternative,100,67,57,16,6,51,27
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,cola,generation,100,76,62,17,3,59,21
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,cola,alternative,100,74,66,13,5,61,21
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,rte,generation,100,66,64,6,4,60,30
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,rte,alternative,100,66,63,7,4,59,30
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,mmlu,generation,100,52,41,24,13,28,35
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,mmlu,alternative,100,61,59,16,14,45,25
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,nli,generation,100,67,56,20,9,47,24
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,nli,alternative,100,67,57,19,9,48,24
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,sst2,generation,100,73,72,9,8,64,19
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,sst2,alternative,100,98,93,6,1,92,1
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,mrpc,generation,100,67,57,17,7,50,26
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,mrpc,alternative,100,67,57,17,7,50,26
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,cola,generation,100,76,58,21,3,55,21
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,cola,alternative,100,74,59,17,2,57,24
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,rte,generation,100,66,64,7,5,59,29
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,rte,alternative,100,66,64,7,5,59,29
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,mmlu,generation,100,52,29,31,8,21,40
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,mmlu,alternative,100,61,50,23,12,38,27
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,nli,generation,100,67,56,23,12,44,21
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,nli,alternative,100,67,55,23,11,44,22
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,sst2,generation,100,73,61,18,6,55,21
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,sst2,alternative,100,98,92,7,1,91,1
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,mrpc,generation,100,67,57,20,10,47,23
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,mrpc,alternative,100,67,57,20,10,47,23
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,cola,generation,100,76,59,20,3,56,21
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,cola,alternative,100,74,61,16,3,58,23
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,rte,generation,100,66,60,10,4,56,30
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,rte,alternative,100,66,60,10,4,56,30
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,mmlu,generation,100,52,34,25,7,27,41
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,mmlu,alternative,100,61,52,20,11,41,28
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,nli,generation,100,67,54,25,12,42,21
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,nli,alternative,100,67,53,26,12,41,21
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,sst2,generation,100,73,54,26,7,47,20
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,sst2,alternative,100,98,87,13,2,85,0
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,mrpc,generation,100,67,39,45,17,22,16
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,mrpc,alternative,100,67,53,35,21,32,12
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,cola,generation,100,76,58,22,4,54,20
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,cola,alternative,100,74,63,16,5,58,21
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,rte,generation,100,66,59,11,4,55,30
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,rte,alternative,100,66,57,12,3,54,31
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,mmlu,generation,100,52,28,32,8,20,40
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,mmlu,alternative,100,61,43,27,9,34,30
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,nli,generation,100,67,54,26,13,41,20
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,nli,alternative,100,67,54,26,13,41,20
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,sst2,generation,100,73,70,3,0,70,27
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,sst2,alternative,100,98,98,0,0,98,2
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,mrpc,generation,100,67,68,2,3,65,30
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,mrpc,alternative,100,67,68,2,3,65,30
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,cola,generation,100,76,74,3,1,73,23
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,cola,alternative,100,74,74,1,1,73,25
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,rte,generation,100,66,64,2,0,64,34
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,rte,alternative,100,66,64,2,0,64,34
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,mmlu,generation,100,52,53,2,3,50,45
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,mmlu,alternative,100,61,60,2,1,59,38
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,nli,generation,100,67,67,1,1,66,32
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,nli,alternative,100,67,67,1,1,66,32
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,sst2,generation,100,73,69,6,2,67,25
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,sst2,alternative,100,98,97,1,0,97,2
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,mrpc,generation,100,67,65,5,3,62,30
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,mrpc,alternative,100,67,65,5,3,62,30
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,cola,generation,100,76,75,4,3,72,21
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,cola,alternative,100,74,74,3,3,71,23
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,rte,generation,100,66,64,5,3,61,31
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,rte,alternative,100,66,64,5,3,61,31
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,mmlu,generation,100,52,46,10,4,42,44
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,mmlu,alternative,100,61,56,8,3,53,36
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,nli,generation,100,67,66,7,6,60,27
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,nli,alternative,100,67,67,6,6,61,27
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,sst2,generation,100,73,70,6,3,67,24
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,sst2,alternative,100,98,97,1,0,97,2
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,mrpc,generation,100,67,72,2,7,65,26
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,mrpc,alternative,100,67,72,2,7,65,26
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,cola,generation,100,76,76,5,5,71,19
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,cola,alternative,100,74,77,3,6,71,20
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,rte,generation,100,66,66,5,5,61,29
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,rte,alternative,100,66,66,5,5,61,29
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,mmlu,generation,100,52,43,14,5,38,43
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,mmlu,alternative,100,61,53,11,3,50,36
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,nli,generation,100,67,58,13,4,54,29
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,nli,alternative,100,67,57,13,3,54,30
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,sst2,generation,100,73,59,15,1,58,26
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,sst2,alternative,100,98,95,3,0,95,2
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,mrpc,generation,100,67,60,12,5,55,28
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,mrpc,alternative,100,67,60,12,5,55,28
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,cola,generation,100,76,69,15,8,61,16
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,cola,alternative,100,74,73,10,9,64,17
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,rte,generation,100,66,64,7,5,59,29
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,rte,alternative,100,66,63,7,4,59,30
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,mmlu,generation,100,52,49,17,14,35,34
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,mmlu,alternative,100,61,56,14,9,47,30
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,nli,generation,100,67,58,19,10,48,23
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,nli,alternative,100,67,61,16,10,51,23
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,sst2,generation,100,73,51,23,1,50,26
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,sst2,alternative,100,98,90,8,0,90,2
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,mrpc,generation,100,67,54,22,9,45,24
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,mrpc,alternative,100,67,54,22,9,45,24
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,cola,generation,100,76,68,16,8,60,16
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,cola,alternative,100,74,70,11,7,63,19
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,rte,generation,100,66,61,10,5,56,29
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,rte,alternative,100,66,61,10,5,56,29
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,mmlu,generation,100,52,46,22,16,30,32
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,mmlu,alternative,100,61,56,17,12,44,27
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,nli,generation,100,67,53,26,12,41,21
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,nli,alternative,100,67,53,26,12,41,21
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,sst2,generation,100,73,36,38,1,35,26
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,sst2,alternative,100,98,88,12,2,86,0
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,mrpc,generation,100,67,61,16,10,51,23
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,mrpc,alternative,100,67,61,16,10,51,23
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,cola,generation,100,76,64,21,9,55,15
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,cola,alternative,100,74,63,19,8,55,18
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,rte,generation,100,66,56,19,9,47,25
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,rte,alternative,100,66,56,19,9,47,25
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,mmlu,generation,100,52,22,31,1,21,47
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,mmlu,alternative,100,61,40,28,7,33,32
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,nli,generation,100,67,57,21,11,46,22
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,nli,alternative,100,67,57,21,11,46,22
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,sst2,generation,100,73,31,43,1,30,26
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,sst2,alternative,100,98,85,14,1,84,1
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,mrpc,generation,100,67,53,22,8,45,25
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,mrpc,alternative,100,67,53,22,8,45,25
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,cola,generation,100,76,37,41,2,35,22
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,cola,alternative,100,74,56,24,6,50,20
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,rte,generation,100,66,55,21,10,45,24
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,rte,alternative,100,66,55,21,10,45,24
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,mmlu,generation,100,52,21,37,6,15,42
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,mmlu,alternative,100,61,37,36,12,25,27
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,nli,generation,100,67,57,26,16,41,17
