state,family,variant,edits,wall_seconds,task_wall_seconds,non_task_state_seconds,peak_gpu_bytes,peak_host_kib
AlphaEdit_ORIGINAL-edits04000,AlphaEdit,BLUE,4000,515.0214289575815,320.9182606358081,194.1031683217734,33231294464,34690092
AlphaEdit_ORIGINAL-edits05000,AlphaEdit,BLUE,5000,513.6970596993342,320.94878564123064,192.74827405810356,33231294464,34690092
AlphaEdit_ORIGINAL-edits06000,AlphaEdit,BLUE,6000,514.4390699807554,321.19326353352517,193.24580644723028,33231294464,34690092
AlphaEdit_ORIGINAL-edits07000,AlphaEdit,BLUE,7000,516.765338706784,320.82979504112154,195.9355436656624,33231294464,34690092
AlphaEdit_ORIGINAL-edits08000,AlphaEdit,BLUE,8000,513.1131642302498,320.7608085144311,192.3523557158187,33231294464,34690092
AlphaEdit_ORIGINAL-edits09000,AlphaEdit,BLUE,9000,515.6531664747745,320.8413514699787,194.8118150047958,33231294464,34690092
AlphaEdit_ORIGINAL-edits10000,AlphaEdit,BLUE,10000,515.0284240469337,320.86449258122593,194.16393146570772,33231294464,34690092
MEMIT_L4_ONLY-edits00100,MEMIT,L4_ONLY,100,512.9159365221858,320.79717357084155,192.11876295134425,33231294464,34690092
MEMIT_L4_ONLY-edits00500,MEMIT,L4_ONLY,500,508.95663945004344,320.822756648995,188.13388280104846,33231294464,34690092
MEMIT_L4_ONLY-edits01000,MEMIT,L4_ONLY,1000,509.15940213389695,320.7802275372669,188.37917459663004,33231294464,34690092
MEMIT_L4_ONLY-edits02000,MEMIT,L4_ONLY,2000,509.0568063715473,320.9271858641878,188.1296205073595,33231294464,34690092
MEMIT_L4_ONLY-edits03000,MEMIT,L4_ONLY,3000,509.16566454898566,321.0151977818459,188.15046676713973,33231294464,34690092
MEMIT_L4_ONLY-edits04000,MEMIT,L4_ONLY,4000,510.1709156706929,320.99477666895837,189.17613900173455,33231294464,34690092
MEMIT_L4_ONLY-edits05000,MEMIT,L4_ONLY,5000,509.95620162785053,320.77563588134944,189.1805657465011,33231294464,34690092
MEMIT_L4_ONLY-edits06000,MEMIT,L4_ONLY,6000,509.30059763230383,320.7788193412125,188.52177829109132,33231294464,34690092
MEMIT_L4_ONLY-edits07000,MEMIT,L4_ONLY,7000,506.309088611044,319.9448856068775,186.36420300416648,33231294464,34690092
MEMIT_L4_ONLY-edits08000,MEMIT,L4_ONLY,8000,505.5391042092815,319.7224189545959,185.81668525468558,33231294464,34690092
MEMIT_L4_ONLY-edits09000,MEMIT,L4_ONLY,9000,511.11347194202244,319.74439938832074,191.3690725537017,33231294464,34690092
MEMIT_L4_ONLY-edits10000,MEMIT,L4_ONLY,10000,505.56454285234213,320.16931592673063,185.3952269256115,33231294464,34690092
MEMIT_L8_ONLY-edits00100,MEMIT,L8_ONLY,100,506.9957289630547,319.39334350731224,187.60238545574248,33231294464,34690092
MEMIT_L8_ONLY-edits00500,MEMIT,L8_ONLY,500,507.6814955091104,319.95301188807935,187.72848362103105,33231294464,34690092
MEMIT_L8_ONLY-edits01000,MEMIT,L8_ONLY,1000,511.17442694399506,320.24348678346723,190.93094016052783,33231294464,34690092
MEMIT_L8_ONLY-edits02000,MEMIT,L8_ONLY,2000,511.3907649926841,320.2027676086873,191.18799738399684,33231294464,34690092
MEMIT_L8_ONLY-edits03000,MEMIT,L8_ONLY,3000,509.26527108065784,320.35872135218233,188.9065497284755,33231294464,34690092
MEMIT_L8_ONLY-edits04000,MEMIT,L8_ONLY,4000,508.57232678029686,320.56271372083575,188.00961305946112,33231294464,34690092
MEMIT_L8_ONLY-edits05000,MEMIT,L8_ONLY,5000,508.22311671916395,319.7360054217279,188.48711129743606,33231294464,34690092
MEMIT_L8_ONLY-edits06000,MEMIT,L8_ONLY,6000,508.3268652455881,320.4303352283314,187.89653001725674,33231294464,34690092
MEMIT_L8_ONLY-edits07000,MEMIT,L8_ONLY,7000,509.5167452804744,320.65943507198244,188.85731020849198,33231294464,34690092
MEMIT_L8_ONLY-edits08000,MEMIT,L8_ONLY,8000,509.1389951677993,320.4427271960303,188.69626797176898,33231294464,34690092
MEMIT_L8_ONLY-edits09000,MEMIT,L8_ONLY,9000,511.44024372287095,320.50108956731856,190.9391541555524,33231294464,34690092
MEMIT_L8_ONLY-edits10000,MEMIT,L8_ONLY,10000,507.4900278849527,320.3675120929256,187.12251579202712,33231294464,34690092
MEMIT_ORIGINAL-edits00100,MEMIT,BLUE,100,512.9115423094481,320.6831111079082,192.22843120153993,33231294464,34690092
MEMIT_ORIGINAL-edits00500,MEMIT,BLUE,500,511.702975965105,320.57036556955427,191.13261039555073,33231294464,34690092
MEMIT_ORIGINAL-edits01000,MEMIT,BLUE,1000,511.9087069099769,320.6964740762487,191.2122328337282,33231294464,34690092
MEMIT_ORIGINAL-edits02000,MEMIT,BLUE,2000,510.55625343415886,320.5408369936049,190.01541644055396,33231294464,34690092
MEMIT_ORIGINAL-edits03000,MEMIT,BLUE,3000,508.2276866873726,320.27981068659574,187.9478760007769,33231294464,34690092
MEMIT_ORIGINAL-edits04000,MEMIT,BLUE,4000,509.86461276747286,320.79726957157254,189.06734319590032,33231294464,34690092
MEMIT_ORIGINAL-edits05000,MEMIT,BLUE,5000,509.28568207100034,320.47648884076625,188.8091932302341,33231294464,34690092
MEMIT_ORIGINAL-edits06000,MEMIT,BLUE,6000,506.05498810485005,320.3938951333985,185.66109297145158,33231294464,34690092
MEMIT_ORIGINAL-edits07000,MEMIT,BLUE,7000,508.0266495756805,320.38815536536276,187.63849421031773,33231294464,34690092
MEMIT_ORIGINAL-edits08000,MEMIT,BLUE,8000,506.18193996325135,320.3146336162463,185.86730634700507,33231294464,34690092
MEMIT_ORIGINAL-edits09000,MEMIT,BLUE,9000,507.01032528840005,320.3725050035864,186.63782028481364,33231294464,34690092
MEMIT_ORIGINAL-edits10000,MEMIT,BLUE,10000,508.7249264642596,320.2850074963644,188.4399189678952,33231294464,34690092
