L4_7_endpoint_energy,L4_7_signed_predicted_progress,L8_endpoint_energy,L8_endpoint_energy_share,L8_native_work_share,alias,arm,batch,endpoint_energy,history_over_raw_work,history_work,normalized_native_work,raw_native_work,sum_of_batch_energy_is_not_cumulative_W10_W0_energy
65.19647434366999,,51.463431938142044,0.4411406933057471,,llama3-8b-inst,O_NATIVE,2,116.65990628181203,,,,,True
74.02529400429952,,55.398866570667714,0.4280411503119516,,llama3-8b-inst,O_NATIVE,3,129.42416057496723,,,,,True
82.03422415450521,,60.93576629476155,0.4262136837477425,,llama3-8b-inst,O_NATIVE,4,142.96999044926676,,,,,True
93.70528438995146,,66.18989581067535,0.413958042560284,,llama3-8b-inst,O_NATIVE,5,159.8951802006268,,,,,True
102.87322857245175,,70.83489420071353,0.40778112773236547,,llama3-8b-inst,O_NATIVE,6,173.7081227731653,,,,,True
106.916651100681,,73.40199685382517,0.4070682521551751,,llama3-8b-inst,O_NATIVE,7,180.31864795450616,,,,,True
120.25790580868016,,79.0486977973012,0.39661855837740484,,llama3-8b-inst,O_NATIVE,8,199.30660360598137,,,,,True
124.44328241109955,,82.82732696625169,0.39960960801470174,,llama3-8b-inst,O_NATIVE,9,207.27060937735124,,,,,True
127.67812897261147,,84.2098804195664,0.3974263605625016,,llama3-8b-inst,O_NATIVE,10,211.88800939217788,,,,,True
2.232076961763596,0.011259403640662746,6131.932394025405,0.9996361237178558,0.9996033123155253,qwen2.5-7b-inst,JV_NATIVE,1,6134.164470987169,0.0,0,0.09165533385728045,4573.143217109367,True
3.99029204897397,0.00975255105888596,7717.860723996812,0.999483246692965,0.9993913849930919,qwen2.5-7b-inst,JV_NATIVE,2,7721.851016045786,0.00010173261466844981,0.5511942780244604,0.09471698208686576,5418.068530144655,True
2.7364670839997416,0.0057805345028861315,11949.556475543779,0.999771050868889,0.9997371895899199,qwen2.5-7b-inst,JV_NATIVE,3,11952.292942627779,0.0005944520734351297,4.537983712034402,0.04708512913908462,7633.893319289793,True
0.41753649756174127,0.0054569669944179045,5675.8574012854715,0.9999264418122557,0.999919587520342,qwen2.5-7b-inst,JV_NATIVE,4,5676.274937783033,0.0003875863657423219,1.6472961834650754,0.09311119853797875,4250.139656770702,True
0.36835188223358273,0.005403405639537788,5324.35087938811,0.9999308222901087,0.9999232917209075,qwen2.5-7b-inst,JV_NATIVE,5,5324.719231270344,0.0004980203095198828,1.9808526179101102,0.09800164315884638,3977.453489436514,True
0.26260310674115317,0.004332356599766231,6104.56543676119,0.9999569843564755,0.9999523498885449,qwen2.5-7b-inst,JV_NATIVE,6,6104.828039867931,0.0008023781277719337,3.6773526278335233,0.08614298371820739,4583.066886487672,True
3.6635563930885837,0.00622490596308693,9314.535422134879,0.9996068385745431,0.9995518424342218,qwen2.5-7b-inst,JV_NATIVE,7,9318.198978527967,0.45681342223823035,5357.147159606529,0.12468105341542987,11727.210495169627,True
0.9597583003396721,0.004536683455150524,8184.3837145652,0.9998827467285251,0.9998936790618981,qwen2.5-7b-inst,JV_NATIVE,8,8185.343472865539,0.0007468455153862132,4.197374285024542,0.10777581194404258,5620.1372285859825,True
0.1597302234313247,0.0032600322970608004,6272.804605862975,0.9999745367238082,0.9999723774020444,qwen2.5-7b-inst,JV_NATIVE,9,6272.964336086407,0.0012972892462266754,6.05803859122978,0.09192653422910818,4669.76706147093,True
21.282412663611467,0.008219613427871128,17131.370719832117,0.9987592349417191,0.9962570701245581,qwen2.5-7b-inst,JV_NATIVE,10,17152.65313249573,0.6978855338062377,29224.09463555374,0.2017456777628782,41875.19760750274,True
1941.7059254520107,,362.1207346923913,0.15718228326678615,,qwen2.5-7b-inst,O_NATIVE,1,2303.826660144402,,,,,True
1986.6032293962223,,506.48661133937753,0.20315618116270365,,qwen2.5-7b-inst,O_NATIVE,2,2493.0898407356,,,,,True
5402.791133709389,,1681.039978654192,0.2373066144561567,,qwen2.5-7b-inst,O_NATIVE,3,7083.831112363581,,,,,True
3905.9042696272963,,613.3817978212492,0.1357253753506129,,qwen2.5-7b-inst,O_NATIVE,4,4519.2860674485455,,,,,True
2925.885702084311,,569.8936560900864,0.16302334835791873,,qwen2.5-7b-inst,O_NATIVE,5,3495.7793581743977,,,,,True
2933.6404521686854,,415.10492716596605,0.12395834264605735,,qwen2.5-7b-inst,O_NATIVE,6,3348.7453793346517,,,,,True
2517.143206229204,,719.9597138750687,0.22240865726069578,,qwen2.5-7b-inst,O_NATIVE,7,3237.102920104273,,,,,True
2503.761631905184,,727.8682010157274,0.2252325416732037,,qwen2.5-7b-inst,O_NATIVE,8,3231.629832920911,,,,,True
2647.2457123559243,,404.05133684552607,0.13241953514531454,,qwen2.5-7b-inst,O_NATIVE,9,3051.2970492014506,,,,,True
3939.5480387800835,,1531.312441823842,0.27990339860664865,,qwen2.5-7b-inst,O_NATIVE,10,5470.860480603926,,,,,True
