L2_velocity_action,W_sha256,actual_net_DeltaW_squared,actual_nonzero,actual_step_DeltaW_squared,alias,arm,batch,coefficient,direction_frobenius_squared,direction_raw_action,frobenius_sq,frobenius_velocity_squared,history_action_computation,history_velocity_action,kind,layer,materialized_nonzero,native_raw,node,normalized_native_velocity_action,parameter_elements,q,raw_coefficient,raw_native_velocity_action,state_version
,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,,,,llama3-8b-inst,O_NATIVE,8,,,,22.2222798728753,,,,actual_endpoint_net_FP32,5,58720231,22.556444871971397,,,58720256,,,,
,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,,,,llama3-8b-inst,O_NATIVE,8,,,,29.339192161004647,,,,actual_endpoint_net_FP32,6,58720233,29.846131986572587,,,58720256,,,,
,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,,,,llama3-8b-inst,O_NATIVE,8,,,,47.843990427734354,,,,actual_endpoint_net_FP32,7,58720230,48.90054242040803,,,58720256,,,,
,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,,,,llama3-8b-inst,O_NATIVE,8,,,,79.0486977973012,,,,actual_endpoint_net_FP32,8,58720246,80.8999141547853,,,58720256,,,,
,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,,,,llama3-8b-inst,O_NATIVE,9,,,,21.743777795356667,,,,actual_endpoint_net_FP32,4,58720229,22.385073860307095,,,58720256,,,,
,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,,,,llama3-8b-inst,O_NATIVE,9,,,,22.89803361223455,,,,actual_endpoint_net_FP32,5,58720226,23.502623294934256,,,58720256,,,,
,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,,,,llama3-8b-inst,O_NATIVE,9,,,,30.46450673759414,,,,actual_endpoint_net_FP32,6,58720233,31.17672905907219,,,58720256,,,,
,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,,,,llama3-8b-inst,O_NATIVE,9,,,,49.33696426591418,,,,actual_endpoint_net_FP32,7,58720238,50.5655061958363,,,58720256,,,,
,808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,,,,llama3-8b-inst,O_NATIVE,9,,,,82.82732696625169,,,,actual_endpoint_net_FP32,8,58720246,85.0024476124211,,,58720256,,,,
,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,,,,llama3-8b-inst,O_NATIVE,10,,,,21.963794376916056,,,,actual_endpoint_net_FP32,4,58720236,22.853200013874805,,,58720256,,,,
,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,,,,llama3-8b-inst,O_NATIVE,10,,,,23.67768281777707,,,,actual_endpoint_net_FP32,5,58720228,24.52981534240916,,,58720256,,,,
,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,,,,llama3-8b-inst,O_NATIVE,10,,,,31.798427965231017,,,,actual_endpoint_net_FP32,6,58720231,32.75635152164902,,,58720256,,,,
,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,,,,llama3-8b-inst,O_NATIVE,10,,,,50.238223812687316,,,,actual_endpoint_net_FP32,7,58720238,51.70632334984986,,,58720256,,,,
,79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,,,,llama3-8b-inst,O_NATIVE,10,,,,84.2098804195664,,,,actual_endpoint_net_FP32,8,58720242,86.68956366567872,,,58720256,,,,
,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,,,,qwen2.5-7b-inst,O_NATIVE,1,,,,530.6398242239595,,,,actual_endpoint_net_FP32,4,67895282,530.6398242239595,,,67895296,,,,
,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,,,,qwen2.5-7b-inst,O_NATIVE,1,,,,734.240901162241,,,,actual_endpoint_net_FP32,5,67895281,734.240901162241,,,67895296,,,,
,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,,,,qwen2.5-7b-inst,O_NATIVE,1,,,,233.68216139159028,,,,actual_endpoint_net_FP32,6,67895272,233.68216139159028,,,67895296,,,,
,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,,,,qwen2.5-7b-inst,O_NATIVE,1,,,,443.14303867422007,,,,actual_endpoint_net_FP32,7,67895289,443.14303867422007,,,67895296,,,,
,a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,,,,qwen2.5-7b-inst,O_NATIVE,1,,,,362.1207346923913,,,,actual_endpoint_net_FP32,8,67895273,362.1207346923913,,,67895296,,,,
,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,,,,qwen2.5-7b-inst,O_NATIVE,2,,,,542.0066544868467,,,,actual_endpoint_net_FP32,4,67895280,542.1872675536314,,,67895296,,,,
,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,,,,qwen2.5-7b-inst,O_NATIVE,2,,,,733.9873793583512,,,,actual_endpoint_net_FP32,5,67895280,734.224064936122,,,67895296,,,,
,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,,,,qwen2.5-7b-inst,O_NATIVE,2,,,,245.96916407211575,,,,actual_endpoint_net_FP32,6,67895278,245.97787895112015,,,67895296,,,,
,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,,,,qwen2.5-7b-inst,O_NATIVE,2,,,,464.6400314789087,,,,actual_endpoint_net_FP32,7,67895287,464.6591829798225,,,67895296,,,,
,017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,,,,qwen2.5-7b-inst,O_NATIVE,2,,,,506.48661133937753,,,,actual_endpoint_net_FP32,8,67895281,506.4986476916546,,,67895296,,,,
,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,,,,qwen2.5-7b-inst,O_NATIVE,3,,,,3471.9852762311175,,,,actual_endpoint_net_FP32,4,67895284,3480.3209194243336,,,67895296,,,,
,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,,,,qwen2.5-7b-inst,O_NATIVE,3,,,,774.2946442595995,,,,actual_endpoint_net_FP32,5,67895287,774.7534648324499,,,67895296,,,,
,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,,,,qwen2.5-7b-inst,O_NATIVE,3,,,,327.6084046146224,,,,actual_endpoint_net_FP32,6,67895281,327.63086588672724,,,67895296,,,,
,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,,,,qwen2.5-7b-inst,O_NATIVE,3,,,,828.9028086040498,,,,actual_endpoint_net_FP32,7,67895288,828.968679929672,,,67895296,,,,
,271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,,,,qwen2.5-7b-inst,O_NATIVE,3,,,,1681.039978654192,,,,actual_endpoint_net_FP32,8,67895290,1681.1252024370197,,,67895296,,,,
,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,,,,qwen2.5-7b-inst,O_NATIVE,4,,,,1160.7806413478759,,,,actual_endpoint_net_FP32,4,67895286,1164.4399138496556,,,67895296,,,,
,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,,,,qwen2.5-7b-inst,O_NATIVE,4,,,,1180.0528388249047,,,,actual_endpoint_net_FP32,5,67895293,1180.8735959393641,,,67895296,,,,
,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,,,,qwen2.5-7b-inst,O_NATIVE,4,,,,556.1212497596807,,,,actual_endpoint_net_FP32,6,67895281,556.2720223263875,,,67895296,,,,
,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,,,,qwen2.5-7b-inst,O_NATIVE,4,,,,1008.949539694835,,,,actual_endpoint_net_FP32,7,67895290,1009.159348265204,,,67895296,,,,
,de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,,,,qwen2.5-7b-inst,O_NATIVE,4,,,,613.3817978212492,,,,actual_endpoint_net_FP32,8,67895277,613.4733644133651,,,67895296,,,,
,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,,,,qwen2.5-7b-inst,O_NATIVE,5,,,,969.7231894277506,,,,actual_endpoint_net_FP32,4,67895285,985.6603401262694,,,67895296,,,,
,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,,,,qwen2.5-7b-inst,O_NATIVE,5,,,,857.5406394654831,,,,actual_endpoint_net_FP32,5,67895286,858.3930515903251,,,67895296,,,,
,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,,,,qwen2.5-7b-inst,O_NATIVE,5,,,,506.9506724200069,,,,actual_endpoint_net_FP32,6,67895279,507.2273467153991,,,67895296,,,,
,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,,,,qwen2.5-7b-inst,O_NATIVE,5,,,,591.6712007710705,,,,actual_endpoint_net_FP32,7,67895275,591.820092511784,,,67895296,,,,
,ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,,,,qwen2.5-7b-inst,O_NATIVE,5,,,,569.8936560900864,,,,actual_endpoint_net_FP32,8,67895291,570.2826231985684,,,67895296,,,,
,04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,,,,qwen2.5-7b-inst,O_NATIVE,6,,,,892.5600913499554,,,,actual_endpoint_net_FP32,4,67895284,899.3058520627978,,,67895296,,,,
,04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,,,,qwen2.5-7b-inst,O_NATIVE,6,,,,939.7954093538414,,,,actual_endpoint_net_FP32,5,67895285,941.0796735688391,,,67895296,,,,
,04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,,,,qwen2.5-7b-inst,O_NATIVE,6,,,,467.8249107954038,,,,actual_endpoint_net_FP32,6,67895283,467.9796308692075,,,67895296,,,,
,04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,,,,qwen2.5-7b-inst,O_NATIVE,6,,,,633.4600406694849,,,,actual_endpoint_net_FP32,7,67895284,633.8160535124471,,,67895296,,,,
,04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,,,,qwen2.5-7b-inst,O_NATIVE,6,,,,415.10492716596605,,,,actual_endpoint_net_FP32,8,67895280,415.18223193481896,,,67895296,,,,
,fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,,,,qwen2.5-7b-inst,O_NATIVE,7,,,,837.660184858581,,,,actual_endpoint_net_FP32,4,67895289,1196.144714963073,,,67895296,,,,
,fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,,,,qwen2.5-7b-inst,O_NATIVE,7,,,,793.2334082258676,,,,actual_endpoint_net_FP32,5,67895279,797.4025289956294,,,67895296,,,,
,fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,,,,qwen2.5-7b-inst,O_NATIVE,7,,,,317.8886355774535,,,,actual_endpoint_net_FP32,6,67895286,317.96689662263776,,,67895296,,,,
