alias,case_index,depth,eff_margin,eff_nll_new,gen_margin_mean,gen_nll_new_max,gen_nll_new_mean,request_index,request_sha256,target_nll_ge_0_05,terminal_full_six_target_new_nll
llama3-8b-inst,5,IL1,8.9761962890625,0.0238037109375,9.74176025390625,0.0537109375,0.03948974609375,3,b60dce4b4fb7c58f26743b14e89bf6f65fd42fa8a116dc3a52707814fd0496fe,False,0.03585868328809738
llama3-8b-inst,5,IL1,12.68328857421875,0.00421142578125,4.8150634765625,0.74609375,0.3880615234375,4,6a691cf16b423bb1d5a6ce4bf3417dd2d707fdac2436c48131dec1cd89b48a6b,False,0.011236860416829586
llama3-8b-inst,5,IL1,9.3480224609375,0.0269775390625,8.810546875,2.40625,1.220703125,5,2a8f1b4955bc1a289af449ade95dfac602e09ca669c961f5c2f949575e94e148,False,0.01534629613161087
llama3-8b-inst,5,IL1,6.7982177734375,0.0142822265625,3.223876953125,2.109375,1.096435546875,6,fc11f308500869e6b6107573e91176f8fb98c2b06cc9eb7d8107d0fb1af68f64,False,0.018683824688196182
llama3-8b-inst,5,IL1,19.119415283203125,0.005584716796875,6.4609375,7.65625,5.6640625,7,409ab50440c393003452ca14f7a848b9b9c4c26eaf347918e74bd2328b526d48,False,0.009497525170445442
llama3-8b-inst,5,IL1,10.85546875,0.01953125,10.019287109375,0.3984375,0.246337890625,8,55b3125b46809bfd09b46805671031439ad32c9f96657b2e9a2e1d248c8bbb80,False,0.011741059832274914
llama3-8b-inst,5,IL1,16.24432373046875,0.00567626953125,12.498046875,0.74609375,0.439453125,9,81c8c31e8abdcc2afdc5f07178b0a29d0dd009dcb1c5ad3746b934b567eccdeb,False,0.015457204543054104
llama3-8b-inst,6,IL1,11.5419921875,0.0205078125,7.76806640625,3.640625,1.90380859375,0,65fe8c1ae82c41f795ca50b2a0707d66874e1ae73ea6a6a34e23cc47f17c9e67,False,0.022857798263430595
llama3-8b-inst,6,IL1,10.572998046875,0.052001953125,10.854660034179688,0.032958984375,0.0203399658203125,1,2f7b6e27f3bba670acf943b4dec2a696193b1ce72e53248761d42a7b1a19ccf6,False,0.04584230110049248
llama3-8b-inst,6,IL1,11.305694580078125,0.006805419921875,3.593017578125,2.890625,1.477294921875,2,97e557fa2d1959dfc82a211736e5b608f395a1f440583abd5d70d65a2fbf5cfe,False,0.016896694898605347
llama3-8b-inst,6,IL1,20.748619079589844,0.00138092041015625,2.92578125,5.53125,2.83984375,3,322b5d3c47aa80d2c94addc9a85c94282e44d92f9ccc5a0cf4cab593ea40cb3b,False,0.0014257271541282535
llama3-8b-inst,6,IL1,14.21142578125,0.03857421875,8.692138671875,4.5625,2.339111328125,4,2cb95a1a83adc4008a17e6b41b7af19fb47a468500652815384202b87b26ccb4,False,0.028349917382001877
