arm,batch,wiki_nll,wiki_sequences,wiki_tokens,mmlu_correct,mmlu_denominator,mmlu_invalid,mmlu_accuracy,wiki_n,wiki_mean,wiki_median,wiki_q25,wiki_q75,wiki_iqr,wiki_p90,wiki_p95,wiki_p99,wiki_min,wiki_max
S875,51,2.303606682922691,128,24999,19,32,0,0.59375,128,2.303606682922691,2.3407201766967773,1.98275887966156,2.591382920742035,0.6086240410804749,2.902433156967163,3.0737883210182186,3.191930434703827,0.7458149194717407,3.517979145050049
S875,52,2.306341100949794,128,24999,17,32,0,0.53125,128,2.306341100949794,2.349695324897766,1.9852414429187775,2.594339907169342,0.6090984642505646,2.915608286857605,3.0582514524459836,3.2099322533607486,0.7452608942985535,3.4791040420532227
S875,53,2.308482094667852,128,24999,19,32,0,0.59375,128,2.308482094667852,2.3562140464782715,1.9950384199619293,2.60234272480011,0.6073043048381805,2.92283980846405,3.0750000596046445,3.210338444709778,0.7455676794052124,3.4383862018585205
S875,54,2.313746909145266,128,24999,19,32,0,0.59375,128,2.313746909145266,2.3595458269119263,1.9950575828552246,2.607963263988495,0.6129056811332703,2.9210107803344725,3.0722792029380797,3.2097194027900695,0.7664316296577454,3.515894651412964
S875,55,2.3178007509559393,128,24999,18,32,0,0.5625,128,2.3178007509559393,2.36103093624115,1.991910845041275,2.615962326526642,0.6240514814853668,2.928488850593567,3.0715166449546816,3.2075378370285037,0.7754330635070801,3.534764528274536
S875,56,2.3217946481890976,128,24999,18,32,0,0.5625,128,2.3217946481890976,2.3612098693847656,1.9982966184616089,2.6266266107559204,0.6283299922943115,2.923750329017639,3.076436722278595,3.1929516911506655,0.7773014903068542,3.530675172805786
S875,57,2.322741497308016,128,24999,18,32,0,0.5625,128,2.322741497308016,2.370363235473633,2.004986494779587,2.6158864498138428,0.610899955034256,2.9235504865646362,3.083074080944061,3.208094391822815,0.780561089515686,3.4865338802337646
S875,58,2.326045776717365,128,24999,18,32,0,0.5625,128,2.326045776717365,2.3673973083496094,2.0127610564231873,2.6177801489830017,0.6050190925598145,2.9265332937240602,3.0944011211395264,3.196644802093506,0.7864686250686646,3.453996419906616
S875,59,2.332568990532309,128,24999,18,32,0,0.5625,128,2.332568990532309,2.3726238012313843,2.024617075920105,2.6280633211135864,0.6034462451934814,2.9548336267471313,3.1016978740692136,3.2238005566596986,0.7860039472579956,3.6539440155029297
S875,60,2.337035255972296,128,24999,19,32,0,0.59375,128,2.337035255972296,2.3769595623016357,2.043645679950714,2.6290634870529175,0.5854178071022034,2.9530181169509886,3.088388192653656,3.265033118724823,0.7942835688591003,3.6351306438446045
S75,51,2.3034320208244026,128,24999,18,32,0,0.5625,128,2.3034320208244026,2.340238332748413,1.982837051153183,2.592548906803131,0.6097118556499481,2.902035284042358,3.0741959571838375,3.1885526823997496,0.7456053495407104,3.5222575664520264
S75,52,2.3053002478554845,128,24999,17,32,0,0.53125,128,2.3053002478554845,2.3456497192382812,1.9823723435401917,2.6004671454429626,0.618094801902771,2.9123865365982056,3.0620353698730467,3.2035281825065614,0.7446345686912537,3.4980356693267822
S75,53,2.307051295414567,128,24999,17,32,0,0.53125,128,2.307051295414567,2.3525021076202393,1.9878531098365784,2.599365234375,0.6115121245384216,2.9189454555511474,3.0722287058830258,3.2001798009872435,0.7442297339439392,3.4550094604492188
S75,54,2.3113376912660897,128,24999,19,32,0,0.59375,128,2.3113376912660897,2.3542959690093994,1.9889694452285767,2.613452911376953,0.6244834661483765,2.924620795249939,3.0728080987930295,3.1990119552612306,0.763386607170105,3.5047154426574707
S75,55,2.314948651473969,128,24999,18,32,0,0.5625,128,2.314948651473969,2.3573622703552246,1.9814285933971405,2.610142469406128,0.6287138760089874,2.931952118873596,3.0765027999877925,3.2023879432678224,0.7687510251998901,3.5139217376708984
S75,56,2.3181435321457684,128,24999,18,32,0,0.5625,128,2.3181435321457684,2.3599029779434204,1.9953793585300446,2.6166505217552185,0.621271163225174,2.929988884925842,3.0788795232772825,3.1917139148712157,0.7715429067611694,3.50337553024292
S75,57,2.3191393772140145,128,24999,18,32,0,0.5625,128,2.3191393772140145,2.361937999725342,1.9926801919937134,2.6112180352211,0.6185378432273865,2.9226096630096436,3.0746532559394835,3.202022180557251,0.7705185413360596,3.473769187927246
S75,58,2.3214782900176942,128,24999,18,32,0,0.5625,128,2.3214782900176942,2.3657498359680176,1.995608538389206,2.6114163398742676,0.6158078014850616,2.915348219871521,3.0754664540290833,3.1973119854927066,0.7753880620002747,3.4520328044891357
S75,59,2.325715981423855,128,24999,17,32,0,0.53125,128,2.325715981423855,2.367524027824402,1.9963924288749695,2.6182926893234253,0.6219002604484558,2.9260547876358034,3.088351809978485,3.2112715721130374,0.7763206362724304,3.608008861541748
S75,60,2.329002153594047,128,24999,17,32,0,0.53125,128,2.329002153594047,2.3695929050445557,2.0165262818336487,2.621021032333374,0.6044947504997253,2.9395352840423583,3.080026841163635,3.2547997117042544,0.7856515049934387,3.5995945930480957
FULL8,51,2.3036066782660782,128,24999,19,32,0,0.59375,128,2.3036066782660782,2.3410959243774414,1.9869275987148285,2.597899913787842,0.6109723150730133,2.9075178146362304,3.0722269058227534,3.199457941055298,0.7435237169265747,3.5044708251953125
FULL8,52,2.3073418103158474,128,24999,19,32,0,0.59375,128,2.3073418103158474,2.3541975021362305,1.9902496039867401,2.602240562438965,0.6119909584522247,2.9186155557632447,3.0575045347213745,3.218066942691803,0.7431589365005493,3.454115629196167
FULL8,53,2.3106437656097114,128,24999,18,32,0,0.5625,128,2.3106437656097114,2.3579061031341553,1.9954497516155243,2.602342128753662,0.6068923771381378,2.9261690855026243,3.07542005777359,3.2164396524429324,0.7412315607070923,3.4209463596343994
FULL8,54,2.3168289815075696,128,24999,18,32,0,0.5625,128,2.3168289815075696,2.3582383394241333,2.0000053346157074,2.603492021560669,0.6034866869449615,2.9353271961212157,3.071905207633972,3.2319029355049134,0.7714911699295044,3.524528741836548
FULL8,55,2.322927945293486,128,24999,17,32,0,0.53125,128,2.322927945293486,2.358821153640747,1.9854773879051208,2.6192246079444885,0.6337472200393677,2.928785467147827,3.0832155108451844,3.2418253993988038,0.7780030965805054,3.529914617538452
FULL8,56,2.32723044231534,128,24999,17,32,0,0.53125,128,2.32723044231534,2.3633391857147217,1.9877575635910034,2.6240221858024597,0.6362646222114563,2.939940905570984,3.0884323477745057,3.211059763431549,0.7793460488319397,3.544405221939087
FULL8,57,2.3294461793266237,128,24999,16,32,0,0.5,128,2.3294461793266237,2.370127320289612,2.0043728947639465,2.6184310913085938,0.6140581965446472,2.9319623470306397,3.0721170067787167,3.2360451483726504,0.7798131704330444,3.5022268295288086
FULL8,58,2.332685806322843,128,24999,16,32,0,0.5,128,2.332685806322843,2.3694244623184204,2.0214104652404785,2.623495399951935,0.6020849347114563,2.9352583408355715,3.098773097991943,3.215241222381592,0.7823992967605591,3.4813079833984375
FULL8,59,2.3390364325605333,128,24999,16,32,0,0.5,128,2.3390364325605333,2.3722962141036987,2.0268715023994446,2.6354877948760986,0.608616292476654,2.964016318321228,3.0939806699752808,3.2326292419433593,0.781457781791687,3.6770427227020264
FULL8,60,2.343966987915337,128,24999,16,32,0,0.5,128,2.343966987915337,2.379604697227478,2.0397900342941284,2.6265334486961365,0.5867434144020081,2.9622552156448365,3.046656632423401,3.279532322883606,0.7898764610290527,3.657691717147827
REFIT4,51,2.303868323098868,128,24999,19,32,0,0.59375,128,2.303868323098868,2.3413389921188354,1.9844841659069061,2.593258798122406,0.6087746322154999,2.8978628873825074,3.0774544239044186,3.1931727433204653,0.7464938759803772,3.525017023086548
REFIT4,52,2.3072265149094164,128,24999,18,32,0,0.5625,128,2.3072265149094164,2.3501545190811157,1.989959955215454,2.592157244682312,0.6021972894668579,2.9208073139190676,3.074851930141449,3.2156724452972414,0.7454749941825867,3.502326726913452
REFIT4,53,2.3114821729250252,128,24999,18,32,0,0.5625,128,2.3114821729250252,2.351435661315918,1.9938862025737762,2.6113210320472717,0.6174348294734955,2.928676724433899,3.076834964752197,3.2413517141342165,0.7445651292800903,3.4714770317077637
REFIT4,54,2.3173896190710366,128,24999,17,32,0,0.53125,128,2.3173896190710366,2.3692634105682373,1.9880094826221466,2.6152389645576477,0.6272294819355011,2.9328198194503785,3.08365478515625,3.247107372283936,0.7756885886192322,3.608398199081421
REFIT4,55,2.3222440844401717,128,24999,18,32,0,0.5625,128,2.3222440844401717,2.3599132299423218,1.9991371929645538,2.6194657683372498,0.6203285753726959,2.9301591396331785,3.0922374844551084,3.2563518834114076,0.7869468927383423,3.624234199523926
REFIT4,56,2.326514506712556,128,24999,19,32,0,0.59375,128,2.326514506712556,2.362236261367798,2.009846568107605,2.636409044265747,0.6265624761581421,2.9321897983551026,3.0790352940559385,3.228230712413788,0.7872222065925598,3.5986599922180176
REFIT4,57,2.3264306229539216,128,24999,20,32,0,0.625,128,2.3264306229539216,2.365371584892273,2.008298546075821,2.629342555999756,0.6210440099239349,2.930009436607361,3.084598851203918,3.2425670480728153,0.7840669751167297,3.568232536315918
REFIT4,58,2.330549319740385,128,24999,18,32,0,0.5625,128,2.330549319740385,2.367456555366516,2.0147553086280823,2.627606749534607,0.6128514409065247,2.933230924606323,3.0866172313690186,3.254262351989746,0.7914329767227173,3.5443530082702637
REFIT4,59,2.3367692534811795,128,24999,20,32,0,0.625,128,2.3367692534811795,2.3744007349014282,2.0198989510536194,2.6402117013931274,0.6203127503395081,2.942004179954529,3.0943441748619076,3.271945824623108,0.7958834171295166,3.6601245403289795
REFIT4,60,2.340970307122916,128,24999,19,32,0,0.59375,128,2.340970307122916,2.374654769897461,2.0337780117988586,2.6357396245002747,0.601961612701416,2.9415507078170777,3.1172599196434017,3.314424345493317,0.7994786500930786,3.647688388824463
