before,after,batch,population,denominator,worse,better,unchanged,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max,lost,gained,retained,failed_both,prediction_changed
N4,RES8,58,wiki,128,57,71,0,128,-0.0020300601609051228,-0.002469182014465332,-0.017693400382995605,0.011216938495635986,0.028910338878631592,0.02716923952102661,0.04545912146568294,0.11686192035675065,-0.12124752998352051,0.13754630088806152,,,,,
N4,RES8,58,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,4
N4,RES8,59,wiki,128,48,80,0,128,-0.005692631937563419,-0.005138754844665527,-0.016715556383132935,0.0070969462394714355,0.02381250262260437,0.024190974235534665,0.03503893017768856,0.08032713055610664,-0.09055876731872559,0.13595056533813477,,,,,
N4,RES8,59,mmlu,32,,,,,,,,,,,,,,,2,0,17,13,6
N4,RES8,60,wiki,128,43,85,0,128,-0.005638603121042252,-0.005643248558044434,-0.019302308559417725,0.006068289279937744,0.02537059783935547,0.02305083274841308,0.04294017553329465,0.09268031120300306,-0.11150741577148438,0.11159300804138184,,,,,
N4,RES8,60,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,5
N4,S875,51,wiki,128,49,79,0,128,-0.0002665282227098942,-0.00037288665771484375,-0.0011065900325775146,0.0005233287811279297,0.0016299188137054443,0.0017500400543212888,0.00261675119400024,0.004555127620697024,-0.0049021244049072266,0.00614166259765625,,,,,
N4,S875,51,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,0
N4,S875,52,wiki,128,43,85,0,128,-0.000788496807217598,-0.0008298158645629883,-0.0023070573806762695,0.0006687641143798828,0.0029758214950561523,0.002641117572784422,0.004850733280181875,0.011333422660827649,-0.00908517837524414,0.016373395919799805,,,,,
N4,S875,52,mmlu,32,,,,,,,,,,,,,,,3,0,17,12,4
N4,S875,53,wiki,128,41,87,0,128,-0.0015287133865058422,-0.0010384917259216309,-0.0037120580673217773,0.0006109476089477539,0.004323005676269531,0.004708528518676758,0.0078057229518890305,0.01431190013885498,-0.03487563133239746,0.020890474319458008,,,,,
N4,S875,53,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,1
N4,S875,54,wiki,128,43,85,0,128,-0.003540090285241604,-0.0026894211769104004,-0.006697118282318115,0.0011322200298309326,0.007829338312149048,0.004228794574737546,0.006793522834777828,0.013577059507369997,-0.04939126968383789,0.020730257034301758,,,,,
N4,S875,54,mmlu,32,,,,,,,,,,,,,,,2,0,19,11,2
N4,S875,55,wiki,128,33,95,0,128,-0.003762588370591402,-0.003496527671813965,-0.007837086915969849,0.00040715932846069336,0.008244246244430542,0.005808615684509277,0.007933425903320308,0.019859769344329835,-0.05506563186645508,0.021456480026245117,,,,,
N4,S875,55,mmlu,32,,,,,,,,,,,,,,,2,0,18,12,2
N4,S875,56,wiki,128,33,95,0,128,-0.0038920254446566105,-0.003412008285522461,-0.00920000672340393,0.0002003312110900879,0.009400337934494019,0.006453657150268554,0.011347579956054676,0.02930603742599492,-0.03383493423461914,0.03532743453979492,,,,,
N4,S875,56,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,2
N4,S875,57,wiki,128,36,92,0,128,-0.004144157748669386,-0.004406630992889404,-0.010407984256744385,0.000694572925567627,0.011102557182312012,0.008488905429840082,0.016030883789062495,0.03618200063705445,-0.04252922534942627,0.054080963134765625,,,,,
N4,S875,57,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,3
N4,S875,58,wiki,128,48,80,0,128,-0.0023835552856326103,-0.003961533308029175,-0.01253807544708252,0.003507554531097412,0.01604562997817993,0.016331517696380613,0.028750085830688464,0.0548603987693787,-0.042482614517211914,0.0681612491607666,,,,,
N4,S875,58,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,2
N4,S875,59,wiki,128,42,86,0,128,-0.0035653114318847656,-0.0034480690956115723,-0.011786460876464844,0.0018254518508911133,0.013611912727355957,0.013287186622619624,0.02507956027984618,0.044743398427963266,-0.037108778953552246,0.06306624412536621,,,,,
N4,S875,59,mmlu,32,,,,,,,,,,,,,,,2,1,17,12,4
N4,S875,60,wiki,128,40,88,0,128,-0.004501506686210632,-0.00498509407043457,-0.014355063438415527,0.0032216906547546387,0.017576754093170166,0.013784480094909662,0.02420334815979,0.055987913608551126,-0.051767587661743164,0.07568001747131348,,,,,
N4,S875,60,mmlu,32,,,,,,,,,,,,,,,0,1,18,13,2
N4,S75,51,wiki,128,49,79,0,128,-0.00044119032099843025,-0.0007125139236450195,-0.0021344423294067383,0.0010575950145721436,0.003192037343978882,0.0038920164108276352,0.0052669882774352954,0.009109237194061284,-0.010019302368164062,0.012943506240844727,,,,,
N4,S75,51,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1
N4,S75,52,wiki,128,48,80,0,128,-0.0018293499015271664,-0.0013248324394226074,-0.005821526050567627,0.0010004937648773193,0.006822019815444946,0.004260778427124023,0.007572984695434564,0.020247950553894056,-0.023311376571655273,0.031110525131225586,,,,,
N4,S75,52,mmlu,32,,,,,,,,,,,,,,,3,0,17,12,4
N4,S75,53,wiki,128,43,85,0,128,-0.0029595126397907734,-0.00249326229095459,-0.007046163082122803,0.001646190881729126,0.008692353963851929,0.0071969270706176754,0.009241425991058346,0.031194491386413666,-0.0287325382232666,0.04192233085632324,,,,,
N4,S75,53,mmlu,32,,,,,,,,,,,,,,,2,0,17,13,4
N4,S75,54,wiki,128,36,92,0,128,-0.005949308164417744,-0.004259079694747925,-0.010512381792068481,0.00020641088485717773,0.01071879267692566,0.00569772720336914,0.008640861511230467,0.015657875537872325,-0.0503385066986084,0.030171871185302734,,,,,
N4,S75,54,mmlu,32,,,,,,,,,,,,,,,2,0,19,11,3
N4,S75,55,wiki,128,29,99,0,128,-0.006614687852561474,-0.0051874518394470215,-0.013328194618225098,-0.0009226500988006592,0.012405544519424438,0.006047689914703369,0.010927569866180414,0.02440898060798648,-0.062142133712768555,0.03786659240722656,,,,,
N4,S75,55,mmlu,32,,,,,,,,,,,,,,,2,0,18,12,4
N4,S75,56,wiki,128,32,96,0,128,-0.007543141487985849,-0.007618308067321777,-0.016465961933135986,-0.00014773011207580566,0.01631823182106018,0.009507727622985837,0.01766992807388304,0.032937595844268815,-0.050479888916015625,0.062264204025268555,,,,,
N4,S75,56,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,3
N4,S75,57,wiki,128,29,99,0,128,-0.007746277842670679,-0.009395718574523926,-0.016572892665863037,-0.0013445019721984863,0.01522839069366455,0.012403273582458496,0.027664971351623446,0.053280467987060584,-0.06787467002868652,0.08536171913146973,,,,,
N4,S75,57,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1
N4,S75,58,wiki,128,33,95,0,128,-0.0069510419853031635,-0.008537530899047852,-0.018978089094161987,0.0008315443992614746,0.019809633493423462,0.014718127250671386,0.03590632081031796,0.0690363121032715,-0.06173992156982422,0.07947015762329102,,,,,
N4,S75,58,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,3
N4,S75,59,wiki,128,31,97,0,128,-0.010418320540338755,-0.009302854537963867,-0.021058037877082825,-0.000696033239364624,0.0203620046377182,0.013403463363647452,0.028013455867767312,0.05514016151428232,-0.11718535423278809,0.06676483154296875,,,,,
N4,S75,59,mmlu,32,,,,,,,,,,,,,,,2,0,17,13,4
N4,S75,60,wiki,128,30,98,0,128,-0.0125346090644598,-0.012055456638336182,-0.02470499277114868,-0.00023567676544189453,0.024469316005706787,0.008055090904235836,0.02497754096984861,0.062836971282959,-0.11585855484008789,0.08327269554138184,,,,,
N4,S75,60,mmlu,32,,,,,,,,,,,,,,,1,0,17,14,2
N4,FULL8,51,wiki,128,63,65,0,128,-0.00026653287932276726,-4.845857620239258e-05,-0.0020526647567749023,0.0020202994346618652,0.004072964191436768,0.005154037475585937,0.008056092262268043,0.019079515933990505,-0.031736016273498535,0.02385091781616211,,,,,
N4,FULL8,51,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,0
N4,FULL8,52,wiki,128,61,67,0,128,0.00021221255883574486,-0.0002052783966064453,-0.003172844648361206,0.0027367472648620605,0.005909591913223267,0.007128727436065673,0.015380352735519407,0.028055373430252092,-0.030202388763427734,0.031180381774902344,,,,,
N4,FULL8,52,mmlu,32,,,,,,,,,,,,,,,1,0,19,12,1
N4,FULL8,53,wiki,128,66,62,0,128,0.0006329575553536415,0.00020706653594970703,-0.004494979977607727,0.004990667104721069,0.009485647082328796,0.01125413179397583,0.01511851549148557,0.03301465272903448,-0.041828155517578125,0.04739212989807129,,,,,
N4,FULL8,53,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,2
N4,FULL8,54,wiki,128,61,67,0,128,-0.00045801792293787,-0.00039589405059814453,-0.004852324724197388,0.005172610282897949,0.010024935007095337,0.01108102798461914,0.0132070779800415,0.028739979267120366,-0.062001705169677734,0.03130650520324707,,,,,
N4,FULL8,54,mmlu,32,,,,,,,,,,,,,,,3,0,18,11,3
N4,FULL8,55,wiki,128,73,55,0,128,0.0013646059669554234,0.0008518099784851074,-0.005936682224273682,0.006802558898925781,0.012739241123199463,0.019743776321411128,0.026476138830184917,0.03787816047668461,-0.07038044929504395,0.07080304622650146,,,,,
N4,FULL8,55,mmlu,32,,,,,,,,,,,,,,,3,0,17,12,3
N4,FULL8,56,wiki,128,68,60,0,128,0.0015437686815857887,0.0012776851654052734,-0.00562894344329834,0.01027446985244751,0.01590341329574585,0.017402958869934076,0.027214229106903003,0.04945510029792786,-0.06212949752807617,0.05479717254638672,,,,,
N4,FULL8,56,mmlu,32,,,,,,,,,,,,,,,2,0,17,13,4
N4,FULL8,57,wiki,128,71,57,0,128,0.002560524269938469,0.0011818408966064453,-0.007073819637298584,0.009294748306274414,0.016368567943572998,0.024678397178649898,0.03721480369567871,0.06971254825592042,-0.08160543441772461,0.08954644203186035,,,,,
N4,FULL8,57,mmlu,32,,,,,,,,,,,,,,,3,0,16,13,6
N4,FULL8,58,wiki,128,71,57,0,128,0.004256474319845438,0.0006186962127685547,-0.00747285783290863,0.010990619659423828,0.01846347749233246,0.027350080013275133,0.04953502416610716,0.10435724496841439,-0.07344436645507812,0.1146235466003418,,,,,
N4,FULL8,58,mmlu,32,,,,,,,,,,,,,,,2,0,16,14,5
N4,FULL8,59,wiki,128,62,66,0,128,0.0029021305963397026,-0.00018155574798583984,-0.008723556995391846,0.010831654071807861,0.019555211067199707,0.028629589080810543,0.0612207770347595,0.06674766659736633,-0.0740654468536377,0.12079095840454102,,,,,
N4,FULL8,59,mmlu,32,,,,,,,,,,,,,,,3,0,16,13,6
N4,FULL8,60,wiki,128,71,57,0,128,0.002430225256830454,0.001522660255432129,-0.011930525302886963,0.012355268001556396,0.02428579330444336,0.03502588272094726,0.05070419907569879,0.06975982666015626,-0.08695411682128906,0.11188864707946777,,,,,
N4,FULL8,60,mmlu,32,,,,,,,,,,,,,,,3,1,15,13,7
N4,REFIT4,51,wiki,128,61,67,0,128,-4.888046532869339e-06,-0.00017702579498291016,-0.003530442714691162,0.00276339054107666,0.006293833255767822,0.005789113044738768,0.010744947195053091,0.0169996511936188,-0.019979000091552734,0.025279760360717773,,,,,
N4,REFIT4,51,mmlu,32,,,,,,,,,,,,,,,0,0,19,13,1
N4,REFIT4,52,wiki,128,61,67,0,128,9.691715240478516e-05,-0.000311434268951416,-0.005924701690673828,0.005847573280334473,0.0117722749710083,0.013422799110412595,0.02199536561965939,0.03514718055725098,-0.06609058380126953,0.03663754463195801,,,,,
N4,REFIT4,52,mmlu,32,,,,,,,,,,,,,,,3,1,17,11,5
N4,REFIT4,53,wiki,128,65,63,0,128,0.0014713648706674576,0.0001958012580871582,-0.005520731210708618,0.0061133503913879395,0.011634081602096558,0.016327428817749023,0.03079579472541806,0.06972877264022836,-0.06242561340332031,0.08289444446563721,,,,,
N4,REFIT4,53,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,3
N4,REFIT4,54,wiki,128,67,61,0,128,0.00010261964052915573,0.0015664100646972656,-0.008237302303314209,0.008078694343566895,0.016315996646881104,0.018587875366210937,0.03101985454559323,0.07029185295104984,-0.09491848945617676,0.07553339004516602,,,,,
N4,REFIT4,54,mmlu,32,,,,,,,,,,,,,,,4,0,17,11,4
N4,REFIT4,55,wiki,128,61,67,0,128,0.0006807451136410236,-0.001026749610900879,-0.00942528247833252,0.008071333169937134,0.017496615648269653,0.02285950183868408,0.041137224435806266,0.08457581758499147,-0.05659675598144531,0.10583150386810303,,,,,
N4,REFIT4,55,mmlu,32,,,,,,,,,,,,,,,2,0,18,12,3
N4,REFIT4,56,wiki,128,68,60,0,128,0.0008278330788016319,0.0009648799896240234,-0.011362850666046143,0.008840799331665039,0.02020364999771118,0.026241409778594963,0.04144603013992301,0.0920850610733033,-0.07601284980773926,0.12044262886047363,,,,,
N4,REFIT4,56,mmlu,32,,,,,,,,,,,,,,,2,2,17,11,7
N4,REFIT4,57,wiki,128,60,68,0,128,-0.0004550321027636528,-0.0010277032852172852,-0.010220766067504883,0.008618682622909546,0.01883944869041443,0.02649228572845458,0.046096962690353356,0.07987269878387453,-0.10969901084899902,0.1316242218017578,,,,,
N4,REFIT4,57,mmlu,32,,,,,,,,,,,,,,,1,2,18,11,6
N4,REFIT4,58,wiki,128,59,69,0,128,0.0021199877373874187,-0.0019744038581848145,-0.011866509914398193,0.012812912464141846,0.02467942237854004,0.04201579093933105,0.05850663185119619,0.12583825588226333,-0.13180184364318848,0.1370072364807129,,,,,
N4,REFIT4,58,mmlu,32,,,,,,,,,,,,,,,2,2,16,12,6
N4,REFIT4,59,wiki,128,60,68,0,128,0.0006349515169858932,-0.0023674964904785156,-0.015929102897644043,0.01590132713317871,0.031830430030822754,0.04264810085296631,0.05563787221908564,0.09865955591201785,-0.11708950996398926,0.14258790016174316,,,,,
N4,REFIT4,59,mmlu,32,,,,,,,,,,,,,,,1,2,18,11,5
N4,REFIT4,60,wiki,128,59,69,0,128,-0.0005664555355906487,-0.002581000328063965,-0.017636626958847046,0.014161407947540283,0.03179803490638733,0.037421989440917965,0.04719899296760558,0.07568109035491952,-0.1480872631072998,0.21205925941467285,,,,,
N4,REFIT4,60,mmlu,32,,,,,,,,,,,,,,,1,2,17,12,6
S75,RES8,51,wiki,128,64,64,0,128,-0.00016360357403755188,-8.940696716308594e-07,-0.0028194189071655273,0.0026949048042297363,0.005514323711395264,0.007182502746582031,0.008280211687088012,0.01710202217102051,-0.027929186820983887,0.03190207481384277,,,,,
S75,RES8,51,mmlu,32,,,,,,,,,,,,,,,0,0,18,14,0
S75,RES8,52,wiki,128,71,57,0,128,0.0006958809681236744,0.0007256865501403809,-0.0037704110145568848,0.004457712173461914,0.008228123188018799,0.011303305625915524,0.015674710273742662,0.036563235521316614,-0.031462907791137695,0.05230224132537842,,,,,
S75,RES8,52,mmlu,32,,,,,,,,,,,,,,,0,2,17,13,2
S75,RES8,53,wiki,128,72,56,0,128,0.0014951033517718315,0.001963019371032715,-0.004619777202606201,0.009754300117492676,0.014374077320098877,0.01688381433486938,0.021655547618865966,0.04399196386337285,-0.06153583526611328,0.0509333610534668,,,,,
S75,RES8,53,mmlu,32,,,,,,,,,,,,,,,0,1,17,14,3
S75,RES8,54,wiki,128,72,56,0,128,0.0022119563072919846,0.0017494559288024902,-0.006812721490859985,0.010957658290863037,0.017770379781723022,0.019788670539855956,0.025140571594238274,0.051771727800369316,-0.06762909889221191,0.06702756881713867,,,,,
S75,RES8,54,mmlu,32,,,,,,,,,,,,,,,2,2,17,11,6
S75,RES8,55,wiki,128,73,55,0,128,0.002195318229496479,0.0020477771759033203,-0.005970418453216553,0.012407660484313965,0.018378078937530518,0.026405143737792965,0.032552480697631815,0.04605353474617005,-0.07958197593688965,0.06746411323547363,,,,,
S75,RES8,55,mmlu,32,,,,,,,,,,,,,,,1,2,17,12,5
S75,RES8,56,wiki,128,75,53,0,128,0.0038867490366101265,0.0029296875,-0.005811840295791626,0.016522318124771118,0.022334158420562744,0.026965022087097168,0.035004794597625725,0.054092154502868674,-0.06534099578857422,0.06351470947265625,,,,,
S75,RES8,56,mmlu,32,,,,,,,,,,,,,,,0,3,18,11,5
S75,RES8,57,wiki,128,78,50,0,128,0.004247069358825684,0.0032106637954711914,-0.005033135414123535,0.019129782915115356,0.02416291832923889,0.02657020092010498,0.044249856472015375,0.05693861484527588,-0.0811765193939209,0.0663597583770752,,,,,
S75,RES8,57,mmlu,32,,,,,,,,,,,,,,,1,2,17,12,4
S75,RES8,58,wiki,128,82,46,0,128,0.004920981824398041,0.003915905952453613,-0.005429178476333618,0.018786102533340454,0.024215281009674072,0.03197128772735594,0.049543362855911245,0.06186911582946778,-0.08572769165039062,0.06706571578979492,,,,,
S75,RES8,58,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,3
S75,RES8,59,wiki,128,83,45,0,128,0.004725688602775335,0.005939602851867676,-0.006478309631347656,0.017535269260406494,0.02401357889175415,0.03376202583312988,0.046712303161621095,0.07088188529014589,-0.10292768478393555,0.07491898536682129,,,,,
S75,RES8,59,mmlu,32,,,,,,,,,,,,,,,1,1,16,14,4
S75,RES8,60,wiki,128,89,39,0,128,0.006896005943417549,0.007884562015533447,-0.006786346435546875,0.02065819501876831,0.027444541454315186,0.03642909526824951,0.050516140460968015,0.08992561578750617,-0.10793590545654297,0.09579300880432129,,,,,
S75,RES8,60,mmlu,32,,,,,,,,,,,,,,,1,2,16,13,5
REFIT4,RES8,51,wiki,128,58,70,0,128,-0.0005999058485031128,-0.0006347298622131348,-0.0037139058113098145,0.0034464597702026367,0.007160365581512451,0.007496619224548338,0.010078823566436766,0.02224590539932253,-0.0283355712890625,0.034392476081848145,,,,,
REFIT4,RES8,51,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,2
REFIT4,RES8,52,wiki,128,55,73,0,128,-0.0012303860858082771,-0.0010057687759399414,-0.008563220500946045,0.004729568958282471,0.013292789459228516,0.011295294761657715,0.02058067321777343,0.043415813446044955,-0.04246640205383301,0.05665183067321777,,,,,
REFIT4,RES8,52,mmlu,32,,,,,,,,,,,,,,,0,1,18,13,1
REFIT4,RES8,53,wiki,128,58,70,0,128,-0.0029357741586863995,-0.0016388893127441406,-0.010671079158782959,0.005599319934844971,0.01627039909362793,0.014833223819732667,0.023586213588714582,0.05834610700607302,-0.08670592308044434,0.0841519832611084,,,,,
REFIT4,RES8,53,mmlu,32,,,,,,,,,,,,,,,0,0,18,14,2
REFIT4,RES8,54,wiki,128,53,75,0,128,-0.003839971497654915,-0.0032488107681274414,-0.012630164623260498,0.00622403621673584,0.018854200839996338,0.017484045028686522,0.03363316059112547,0.06746317744255068,-0.13457250595092773,0.07262110710144043,,,,,
REFIT4,RES8,54,mmlu,32,,,,,,,,,,,,,,,1,3,16,12,5
REFIT4,RES8,55,wiki,128,49,79,0,128,-0.0051001147367060184,-0.005098581314086914,-0.014494597911834717,0.007822036743164062,0.02231663465499878,0.02105699777603149,0.03738303184509273,0.057176463603973444,-0.12821483612060547,0.07344341278076172,,,,,
REFIT4,RES8,55,mmlu,32,,,,,,,,,,,,,,,0,1,18,13,4
REFIT4,RES8,56,wiki,128,53,75,0,128,-0.004484225530177355,-0.0059642791748046875,-0.01647856831550598,0.007800877094268799,0.02427944540977478,0.031228613853454587,0.04027757644653317,0.061708506345748926,-0.12926054000854492,0.06421089172363281,,,,,
REFIT4,RES8,56,mmlu,32,,,,,,,,,,,,,,,2,4,17,9,7
REFIT4,RES8,57,wiki,128,54,74,0,128,-0.0030441763810813427,-0.0036048293113708496,-0.016343429684638977,0.013351917266845703,0.02969534695148468,0.03193881511688232,0.0414793789386749,0.06198562741279604,-0.12459278106689453,0.07093203067779541,,,,,
REFIT4,RES8,57,mmlu,32,,,,,,,,,,,,,,,1,0,19,12,3
REFIT4,RES8,58,wiki,128,54,74,0,128,-0.0041500478982925415,-0.003339052200317383,-0.019132256507873535,0.010651171207427979,0.029783427715301514,0.02780928611755371,0.047431838512420624,0.06554712772369385,-0.13910341262817383,0.07522916793823242,,,,,
REFIT4,RES8,58,mmlu,32,,,,,,,,,,,,,,,2,2,16,12,6
REFIT4,RES8,59,wiki,128,57,71,0,128,-0.006327583454549313,-0.003906726837158203,-0.025068432092666626,0.008000850677490234,0.03306928277015686,0.0335200548171997,0.04537936449050899,0.08249600291252149,-0.14827871322631836,0.09197998046875,,,,,
REFIT4,RES8,59,mmlu,32,,,,,,,,,,,,,,,4,1,16,11,8
REFIT4,RES8,60,wiki,128,61,67,0,128,-0.005072147585451603,-0.001386404037475586,-0.023042678833007812,0.014232426881790161,0.037275105714797974,0.034767055511474604,0.04716662168502807,0.06469721317291265,-0.23672246932983398,0.07662618160247803,,,,,
REFIT4,RES8,60,mmlu,32,,,,,,,,,,,,,,,2,1,17,12,6
FULL8,RES8,51,wiki,128,60,68,0,128,-0.0003382610157132149,-0.0003523826599121094,-0.0031183958053588867,0.002156853675842285,0.005275249481201172,0.007454395294189453,0.00963357686996459,0.017920646667480496,-0.03837990760803223,0.02040839195251465,,,,,
FULL8,RES8,51,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1
FULL8,RES8,52,wiki,128,57,71,0,128,-0.0013456814922392368,-0.0007149577140808105,-0.005938351154327393,0.0038661956787109375,0.00980454683303833,0.009288585186004634,0.016683328151702877,0.029866249561309823,-0.037009239196777344,0.04073166847229004,,,,,
FULL8,RES8,52,mmlu,32,,,,,,,,,,,,,,,2,2,17,11,5
FULL8,RES8,53,wiki,128,52,76,0,128,-0.0020973668433725834,-0.0023259520530700684,-0.009362459182739258,0.005919843912124634,0.015282303094863892,0.013757920265197753,0.018476456403732296,0.03713686108589174,-0.08191394805908203,0.048255205154418945,,,,,
FULL8,RES8,53,mmlu,32,,,,,,,,,,,,,,,1,1,17,13,3
FULL8,RES8,54,wiki,128,50,78,0,128,-0.003279333934187889,-0.0021650195121765137,-0.012748301029205322,0.005638927221298218,0.01838722825050354,0.012449002265930173,0.016442316770553588,0.04277565717697146,-0.05070304870605469,0.04442644119262695,,,,,
FULL8,RES8,54,mmlu,32,,,,,,,,,,,,,,,1,2,17,12,4
FULL8,RES8,55,wiki,128,49,79,0,128,-0.005783975590020418,-0.004521012306213379,-0.014137715101242065,0.004508316516876221,0.018646031618118286,0.01235582828521728,0.021815371513366696,0.05183351278305057,-0.10493803024291992,0.05649256706237793,,,,,
FULL8,RES8,55,mmlu,32,,,,,,,,,,,,,,,1,3,16,12,6
FULL8,RES8,56,wiki,128,49,79,0,128,-0.005200161132961512,-0.004908323287963867,-0.014569342136383057,0.005641847848892212,0.02021118998527527,0.011487996578216551,0.019978499412536613,0.07059150695800787,-0.10077214241027832,0.07749462127685547,,,,,
FULL8,RES8,56,mmlu,32,,,,,,,,,,,,,,,0,4,17,11,6
FULL8,RES8,57,wiki,128,49,79,0,128,-0.006059732753783464,-0.004266858100891113,-0.014421522617340088,0.004383206367492676,0.018804728984832764,0.015823960304260254,0.023176908493041975,0.07852565050125135,-0.10895872116088867,0.08897185325622559,,,,,
FULL8,RES8,57,mmlu,32,,,,,,,,,,,,,,,1,4,15,12,7
FULL8,RES8,58,wiki,128,51,77,0,128,-0.006286534480750561,-0.0049849748611450195,-0.01500287652015686,0.006666421890258789,0.02166929841041565,0.018940353393554685,0.030457544326782167,0.06817878484725955,-0.13385558128356934,0.0962533950805664,,,,,
FULL8,RES8,58,mmlu,32,,,,,,,,,,,,,,,1,3,15,13,5
FULL8,RES8,59,wiki,128,47,81,0,128,-0.008594762533903122,-0.005056321620941162,-0.019744277000427246,0.004840344190597534,0.02458462119102478,0.021560072898864746,0.02793706655502319,0.07016929745674143,-0.12857270240783691,0.1114194393157959,,,,,
FULL8,RES8,59,mmlu,32,,,,,,,,,,,,,,,1,2,15,14,6
FULL8,RES8,60,wiki,128,54,74,0,128,-0.008068828377872705,-0.003477811813354492,-0.0222395658493042,0.008908987045288086,0.031148552894592285,0.021484398841857905,0.04572373628616331,0.06918512821197517,-0.1365518569946289,0.07920336723327637,,,,,
FULL8,RES8,60,mmlu,32,,,,,,,,,,,,,,,1,3,15,13,6
