arm,batch,first_fit_seconds,second_fit_seconds,materialization_seconds,finalization_seconds,evaluation_seconds,policy_instrumented_online_seconds
FULL8,52,288.2410548944026,26.425670093856752,0.74484908208251,28.459171848371625,72.13507009018213,343.8707459187135
FULL8,53,289.6276669576764,35.06472683604807,0.773341285996139,27.993395212106407,71.00308570079505,353.459130291827
FULL8,54,286.4660341013223,25.625685033388436,0.5377744305878878,24.15339606255293,70.28297256864607,336.78288962785155
FULL8,55,293.1025624871254,31.834079428575933,0.5940509820356965,23.782111454755068,131.8972285715863,349.3128043524921
FULL8,56,291.3347059097141,29.034200398251414,0.5478174239397049,21.556141087785363,69.3551556058228,342.4728648196906
FULL8,57,292.3732460401952,34.00167441368103,0.4915428217500448,22.18062232900411,69.25353574566543,349.0470856046304
FULL8,58,289.89218998141587,35.93808429501951,0.506660888902843,21.89817174244672,69.31375732459128,348.23510690778494
FULL8,59,288.20460723154247,40.20395976677537,0.5035653570666909,22.07486564759165,69.54690168239176,350.9869980029762
FULL8,60,290.84022858552635,28.46193757466972,0.6665858887135983,23.358739740215242,964.6706761419773,343.3274917891249
REFIT4,51,290.4416639851406,43.49059010762721,0.7719976752996445,14.095878378488123,71.41460503917187,348.8001301465556
REFIT4,52,290.9956152876839,54.6400929428637,0.7846642602235079,14.188047517091036,73.2831740193069,360.60842000786215
REFIT4,53,291.4098452664912,65.1892873737961,0.8328041629865766,14.740278739482164,72.78517666086555,372.172215542756
REFIT4,54,290.72706321440637,60.3696541916579,0.8038503276184201,14.17734320089221,73.09273276478052,366.0779109345749
REFIT4,55,297.49049664475024,63.69930644892156,0.8650300446897745,14.38304537627846,133.51974389422685,376.43787851464003
REFIT4,56,297.35911188833416,61.95780309010297,0.8250340735539794,14.890353687107563,72.20826373621821,375.03230273909867
REFIT4,57,299.48592293728143,67.4817687207833,0.821795329451561,14.552391041070223,72.74311645328999,382.3418780285865
REFIT4,58,296.9672260377556,66.60207244101912,0.7844881396740675,14.404553189873695,73.6489252448082,378.7583398083225
REFIT4,59,297.52292766422033,79.5852408381179,1.6070910636335611,18.383235001936555,71.61628395318985,397.09849456790835
REFIT4,60,303.42868398688734,51.89257283881307,0.7759147500619292,14.101076854392886,979.9442501300946,370.1982484301552
