method,arm_before,arm_after,batch,metric,before_num,after_num,denominator,rate_delta,new_nll_prompt_mean_delta,new_nll_prompt_median_delta,new_nll_prompt_p90_delta,new_nll_prompt_max_delta,true_nll_prompt_mean_delta,true_nll_prompt_median_delta,true_nll_prompt_p90_delta,true_nll_prompt_max_delta,margin_prompt_mean_delta,margin_prompt_median_delta,margin_prompt_p90_delta,margin_prompt_max_delta
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,20,PS,3823,3696,4000,-0.031749999999999945,0.44061377205152374,0.37663187086582184,0.9780862808227537,-2.1789302825927734,-1.8072998474265916,-1.6442418098449707,-2.6564674377441406,-5.551185607910156,-2.2479136194781155,-2.0466734021902084,-3.059870373341253,-5.601559842529241
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,20,NS,15943,16213,20000,0.013499999999999956,-0.46373761253960666,-0.5129060745239258,-0.8528639793396202,-3.5119247436523438,-0.35462120047812284,-0.30059123039245605,-0.8899361610412555,-6.751651763916016,0.10911641206148381,0.09940207004547119,-0.45092658698558585,-6.128645795513876
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,30,RS,2962,2940,3000,-0.007333333333333303,-0.031179382157001334,0.005953545914962888,0.13561336398124663,-8.100255966186523,-1.9264210348527993,-1.825098991394043,-2.5651470184326186,-3.307931900024414,-1.8952416526957965,-1.7641536056762561,-2.4525070766219876,-3.3078725396626396
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,30,PS,5690,5574,6000,-0.019333333333333313,0.15475832315359583,0.3566911444067955,-0.20821657180786257,-0.5353755950927734,-2.294377816902271,-2.2541747093200684,-3.4619459152221665,-5.104736328125,-2.449136140055865,-2.397304139100015,-3.7196196667835455,-5.11727579124306
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,30,NS,22196,22742,30000,0.018199999999999994,-1.0829905166540996,-1.1041278839111328,-1.925146293640136,-3.43695068359375,-0.7630963628184029,-0.7399098873138428,-1.7475943565368635,-10.99749755859375,0.3198941538356972,0.3307986259460449,-0.878881645202636,-6.406827055849135
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,40,RS,3896,3928,4000,0.008000000000000007,-0.3362551575898044,0.005508471745997667,-1.3850284695625295,-7.60353946685791,-1.8222411396086677,-1.8593711853027344,-2.6513177871704094,-2.7303924560546875,-1.4859859820188621,-1.5843004037160426,-2.5687873792136102,-2.7309399138539447
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,40,PS,7506,7477,8000,-0.0036249999999999893,-0.16415450508102802,0.2895962670445442,-1.108036565780644,-4.511020660400391,-2.6359978829221298,-2.683720588684082,-4.072797393798828,-6.3529205322265625,-2.471843377841104,-2.5422751223668456,-4.331152972020213,-6.353676384111168
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,40,NS,27664,28696,40000,0.025800000000000045,-1.6902403743329906,-1.733543872833252,-2.8397106170654283,-5.937017440795898,-1.4833156191396553,-1.495619773864746,-2.926443195343019,-9.687000274658203,0.2069247551933353,0.1827201247215271,-1.3665061220526682,-5.787938120782201
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,50,RS,4679,4885,5000,0.041200000000000014,-1.0107784132947808,-0.0198261309415102,-4.624794483184815,-5.975837707519531,-0.992372986224666,-1.0684356689453125,-1.8236368179321225,-2.612833023071289,0.018405427070113944,-0.28655630350112915,-1.6088325697812245,-2.613266545085935
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,50,PS,9005,9371,10000,0.03660000000000008,-0.8574861111395919,-0.05388347804546356,-2.840926933288576,-3.3214797973632812,-2.284380860691819,-2.3546175956726074,-3.801426601409913,-2.3322486877441406,-1.426894749552229,-1.5649663179647177,-3.652279209521655,-2.3332203571299033
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,50,NS,32416,34251,50000,0.036699999999999955,-1.937045708040202,-1.9695332050323486,-3.2812693595886238,-5.062282562255859,-1.9825679318806362,-2.1178064346313477,-3.433328723907472,-6.399070739746094,-0.045522223840434695,-0.12896966934204102,-1.508091223239902,-10.629321966340285
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,60,RS,4511,5814,6000,0.21716666666666662,-3.91295622221809,-3.19826434366405,-9.326986932754508,-10.324947357177734,0.9314473880249778,0.9860110282897949,-0.10125703811645614,-10.911270141601562,4.844403610243066,5.003194769844413,1.9224578111155992,-10.911357875255362
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,60,PS,8656,11179,12000,0.21024999999999994,-3.609510323783838,-4.1528559029102325,-6.599427413940429,-10.344244003295898,-0.19951905836496664,-0.2436814308166504,-1.0556468963623047,-1.913351058959961,3.4099912654188698,3.77198925614357,1.5176990755833675,-1.9111022721335758
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,60,NS,37773,38977,60000,0.020066666666666566,-2.3518482154752833,-2.3403820991516113,-3.8012060165405295,-6.635477066040039,-2.316217258361405,-2.5046441555023193,-3.8609956741332994,-7.933620452880859,0.03563095711387798,-0.03834909200668335,-1.1713719844818096,-8.303997817527488
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,70,RS,4944,6659,7000,0.245,-3.7005574748491323,-3.8047737665474415,-7.290973281860351,-5.062835693359375,1.3083648075891627,1.4279804229736328,0.8292170524597129,-13.82056999206543,5.008922282438294,5.718674182891846,2.668596437590894,-13.820582628170087
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,70,PS,9673,12854,14000,0.2272142857142857,-3.535988208682882,-4.362836927175522,-5.607536983489991,1.2380180358886719,0.30931821955609173,0.3570895195007324,0.06773748397827184,-4.03291130065918,3.845306428238972,4.1837178170681,2.67146144066937,-0.28114556513901334
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,70,NS,41283,44139,70000,0.04079999999999995,-1.4534964478687078,-1.4124245643615723,-2.2899624824523936,-7.295879364013672,-1.7539434395262825,-1.9510912895202637,-2.4509865760803233,-7.520318984985352,-0.3004469916575716,-0.36842918395996094,-0.6924336642026896,0.3311187162216811
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,80,RS,5635,7372,8000,0.217125,-3.9660397580051234,-4.626470983028412,-7.175957965850828,-3.053831100463867,-0.3384919957781385,-0.4055056571960449,-0.7937544822692857,0.5279941558837891,3.6275477622269854,4.434728264808655,0.7905299527366889,0.5283929448796698
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,80,PS,10777,14338,16000,0.2225625,-4.0939598662315575,-5.279614061117172,-6.313361740112305,-1.0155963897705078,-0.7628801323937591,-0.8386387825012207,-1.0900967597961433,-2.5781078338623047,3.331079733837797,3.804522454738617,1.7001612972468134,-0.020215953147271648
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,80,NS,43342,47897,80000,0.056937499999999974,-2.18733825304042,-2.4202651977539062,-2.9784608840942415,-6.537160873413086,-2.7796581833542584,-2.986804485321045,-3.629257488250733,0.3609352111816406,-0.5923199303138372,-0.569397509098053,-1.3017298728227606,-0.16110337086138315
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,90,RS,6444,7814,9000,0.15222222222222226,-3.1734040607020217,-3.9904218912124634,-5.707619571685791,-1.6538333892822266,-0.8073959739729109,-0.9220366477966309,-0.8318147659301758,5.06074333190918,2.36600808672911,2.784286502748728,0.990494918148034,5.060856686694024
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,90,PS,12186,15419,18000,0.17961111111111105,-3.99757025087606,-5.309485733509064,-5.823339080810547,-0.6114158630371094,-1.278074129293156,-1.4416389465332031,-1.1063658714294426,-1.4669265747070312,2.719496121582904,3.0734559297561646,1.9738785460591313,-1.2967964369909168
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,90,NS,48285,51877,90000,0.03991111111111112,-2.17847624346474,-2.4062912464141846,-2.995659065246583,0.2937469482421875,-2.5541444581307857,-2.7901971340179443,-3.4438358306884744,-5.758157730102539,-0.3756682146660451,-0.39200925827026367,-0.9409474372863773,-2.8812983036125956
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,100,RS,7183,7722,10000,0.05389999999999995,-1.7466450982734822,-1.934606671333313,-3.501106929779054,-4.8365325927734375,-1.5620795377001633,-1.7573084831237793,-2.1075568199157733,-1.676736831665039,0.1845655605733194,0.12036272138357162,-1.1764756712364068,-1.6769960781967086
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,100,PS,13530,14966,20000,0.07179999999999997,-2.400202524424082,-3.0427639484405518,-3.530714321136477,-7.8343048095703125,-1.7676074797778618,-1.8837776184082031,-2.1270760536193887,-3.088319778442383,0.6325950446462199,0.7822698354721069,-0.3051736938767142,-3.088401313972554
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,100,NS,53287,57848,100000,0.04561000000000004,-1.6969888516970144,-1.8058099746704102,-2.5059515953063976,-6.894773483276367,-2.123092400096221,-2.277427911758423,-2.8991954803466804,-9.235984802246094,-0.42610354839920794,-0.4163503646850586,-1.162920671701431,-5.866063724308333
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,1,RS,100,75,100,-0.25,2.1877364218016284,0.6453768416540697,6.2680356761440645,15.049758717417717,-8.442312063788997,-9.293241739273071,-9.733058261871337,-11.560933113098145,-10.630048485590624,-11.222187116509303,-11.073515374238196,-11.952115528288232
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,1,PS,185,97,200,-0.44000000000000006,3.406188792601461,4.371292382478714,5.216470003128051,0.8562355041503906,-4.3112324502225965,-4.554332971572876,-4.71858854293823,-5.9067535400390625,-7.717421242824057,-8.041408732533455,-7.64723670706153,-11.03436804865487
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,1,NS,879,880,1000,0.0010000000000000009,-0.0884949287623158,-0.12483930587768555,-0.160455513000489,0.05022621154785156,-0.09879297297395517,-0.10562944412231445,-0.2845090866088853,-0.3386859893798828,-0.01029804421163849,-0.008669614791870117,-0.040734124183655074,0.7184469699859619
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,5,RS,499,457,500,-0.08399999999999996,0.9416396889228644,0.07141279079951346,2.860027045756579,10.549242973327637,-5.989292646629736,-5.9734437465667725,-6.467713928222658,-6.704074859619141,-6.9309323355526,-6.402222902077483,-6.506006392999552,-6.706689940649085
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,5,PS,934,713,1000,-0.22100000000000009,1.7692842603995813,1.9305179566144943,3.3149377822875987,3.6875553131103516,-3.3782548314721206,-3.4605140686035156,-3.6675519943237287,-2.8570823669433594,-5.147539091871703,-5.191996114328504,-4.416400829516352,-2.9363728826865554
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,5,NS,4347,4242,5000,-0.020999999999999908,-0.9158079308529388,-0.9107451438903809,-0.7385741233825733,-3.0763778686523438,-0.37563485353953396,-0.3629143238067627,-0.7406661033630364,-7.081600189208984,0.5401730773134039,0.5757084786891937,0.41510281562805174,-6.595641007646918
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,10,RS,995,937,1000,-0.05799999999999994,0.6048611206389964,0.044897452811710536,2.1401650117710234,-5.636246681213379,-5.026310327760875,-4.725134372711182,-5.664839458465577,-7.907878875732422,-5.631171448399872,-5.131073023949284,-5.766839024389629,-7.918913714158407
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,10,PS,1899,1458,2000,-0.22050000000000003,2.3027492646547607,2.396052837371826,4.637358713150021,9.168485641479492,-2.7378473421530805,-2.826392650604248,-2.6788689613342314,0.3372325897216797,-5.040596606807841,-5.17942413687706,-4.531606145892875,-5.152537112322534
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,10,NS,8507,7692,10000,-0.08150000000000002,-1.769327763173985,-1.7654666900634766,-1.430162715911866,-3.682910919189453,-0.395480715357178,-0.394519567489624,-0.8745325088501001,-6.426408767700195,1.3738470478168083,1.3768157958984375,1.365037012100221,-4.812483121175319
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,20,RS,1988,1824,2000,-0.08199999999999996,0.9242941675379577,0.17967982892878354,3.590727854520083,-3.4427404403686523,-6.306611664231866,-6.381923675537109,-7.767782783508299,-10.878610610961914,-7.230905831769824,-6.946766427296097,-8.124662390723824,-10.880550257214054
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,20,PS,3823,2709,4000,-0.27849999999999997,2.627172123403613,3.1742959767580032,4.44782919883728,0.3295097351074219,-4.300328061950306,-4.359629392623901,-5.3889083862304705,-5.989255905151367,-6.927500185353919,-6.999157778918743,-7.2003947007469815,-7.433046520221978
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,20,NS,15943,14275,20000,-0.08340000000000003,-2.4390047356534676,-2.4880855083465576,-2.826779174804704,-4.652990341186523,-0.8203894610137681,-0.7142870426177979,-2.0301526069641103,-10.298912048339844,1.6186152746396996,1.6299182772636414,0.7467274904251093,-10.682136427727528
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,30,RS,2962,2606,3000,-0.11866666666666659,1.2804171431331421,0.6107849015388638,4.604617094993591,-7.348043441772461,-7.192337237323461,-7.25636625289917,-9.08987436294556,-12.87110710144043,-8.4727543804566,-8.307706871361006,-9.554536506510342,-12.873500629211776
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,30,PS,5690,4240,6000,-0.2416666666666667,2.5273799357223803,3.3277341946959496,3.6428612709045387,-2.6906394958496094,-4.611084561960569,-4.778165817260742,-6.2220417976379405,-7.877536773681641,-7.138464497682948,-7.336875087581575,-8.526592306046222,-7.894997321069582
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,30,NS,22196,20011,30000,-0.0728333333333333,-3.120017620329916,-3.287221908569336,-4.122984027862545,-7.709140777587891,-1.3335039860893856,-1.2563400268554688,-3.2970307350158663,-11.531108856201172,1.7865136342405303,1.8787620067596436,-0.2680757522583006,-11.4954454600811
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,40,RS,3896,3332,4000,-0.14100000000000001,1.4222673648015558,1.1549390433356166,3.8301721096038817,-6.4248199462890625,-7.3106029297087805,-7.574976444244385,-9.451542282104493,-11.659210205078125,-8.732870294510334,-8.933050299994648,-10.620008108415641,-11.674637215990515
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,40,PS,7506,5575,8000,-0.241375,2.6047293045952564,3.80501938611269,3.095325326919551,-6.341449737548828,-4.931700795335995,-5.248734712600708,-6.676697921752929,-8.774194717407227,-7.536430099931254,-7.978114194236696,-9.445058745890858,-14.303009338356787
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,40,NS,27664,25294,40000,-0.059250000000000025,-3.4943588496869635,-3.649855375289917,-5.1086918830871575,-11.598289489746094,-1.9091748932262904,-1.9129829406738281,-4.46260528564453,-14.879631042480469,1.585183956460672,1.6775254607200623,-1.406373535096645,-11.159229278571729
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,50,RS,4679,4198,5000,-0.09619999999999995,0.6591196212959065,1.0390746239572763,0.23469815254211124,-8.90108585357666,-5.731687042872328,-5.92292046546936,-8.011475849151608,-10.395618438720703,-6.3908066641682355,-6.644640815444291,-8.841039660165553,-10.467801337101264
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,50,PS,9005,7125,10000,-0.18799999999999994,2.093051665189319,3.4875740110874176,2.036418056488035,-0.6150588989257812,-4.137517882029362,-4.3364481925964355,-6.08257350921631,-6.246524810791016,-6.230569547218683,-6.622268047882244,-8.613543253684472,-11.851437649656873
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,50,NS,32416,29364,50000,-0.06103999999999998,-3.3635493586039544,-3.5497186183929443,-5.110564136505127,-8.411432266235352,-2.191886984255743,-2.269181966781616,-4.5961726188659675,-7.337978363037109,1.1716623743482104,1.2618906497955322,-1.6840384960174566,-16.1838722229204
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,60,RS,4511,5050,6000,0.08983333333333332,-2.1924571339709797,-1.8292750716209412,-5.16086721420288,-10.794694900512695,-3.1455237565099807,-3.096715211868286,-5.857732009887696,-19.692279815673828,-0.9530666225390019,-0.8979530110955238,-5.016761653125286,-19.707896464522946
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,60,PS,8656,8657,12000,8.333333333332416e-05,-0.402249469136013,-0.39208078384399414,-1.3193194389343272,-0.7680816650390625,-1.5053940958844612,-1.7596092224121094,-2.4990661621093757,1.2158012390136719,-1.1031446267484486,-1.0551885962486267,-3.1926684572361417,-7.508341744076461
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,60,NS,37773,33218,60000,-0.07591666666666674,-3.3960954588409304,-3.4604625701904297,-5.343772411346437,-13.000003814697266,-2.225989515125689,-2.224782705307007,-4.655566692352293,-9.906673431396484,1.17010594371524,1.211991786956787,-1.4054165363311748,-11.900067288506762
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,70,RS,4944,5865,7000,0.13157142857142856,-2.2000964023486334,-2.4236921072006226,-4.236794567108155,-9.734773635864258,-2.0306104701587966,-2.0161235332489014,-4.0811137199401895,-18.32144546508789,0.1694859321898372,0.7854510545730591,-3.3026978281326613,-19.954030613749637
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,70,PS,9673,10211,14000,0.03842857142857137,-0.7213150591985862,-0.911618709564209,-1.2171121597290053,-1.0537376403808594,-1.0508413018211549,-1.1221644878387451,-1.833028316497801,-2.722637176513672,-0.3295262426225696,-0.27004921436309814,-2.0654844701290145,1.0286459780909354
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,70,NS,41283,36600,70000,-0.06689999999999996,-2.19542931452078,-2.2402188777923584,-3.2944866180419936,-9.182703018188477,-1.4163949369040036,-1.4216208457946777,-2.901013374328615,-8.947900772094727,0.7790343776167787,0.856513500213623,-0.7540022850036614,-5.678267426144885
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,80,RS,5635,6690,8000,0.13187500000000008,-2.545730028189672,-3.080568790435791,-4.789802217483519,-3.745267868041992,-2.2173941322293533,-2.3147644996643066,-3.9614474296569817,-7.050693511962891,0.3283358959603184,0.9324630498886108,-3.4648291475343296,-7.050339901616098
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,80,PS,10777,11808,16000,0.06443750000000004,-0.842438352474435,-1.156378984451294,-1.4417317390441902,1.8105030059814453,-1.0288488532402766,-1.1479542255401611,-1.7606869697570797,-7.744422912597656,-0.18641050076584342,-0.07570129632949829,-2.457621420314535,-7.199823466420639
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,80,NS,43342,39917,80000,-0.04281250000000003,-2.3080714557489372,-2.5077157020568848,-3.238500308990476,-7.138296127319336,-1.8744549651927809,-1.9887933731079102,-3.206607913970947,-9.970495223999023,0.43361649055615564,0.5200915336608887,-1.1499029636383042,-4.257669106271351
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,90,RS,6444,7511,9000,0.11855555555555564,-2.2720716747713907,-2.704032242298126,-4.4912107467651365,-4.903804779052734,-1.7641790708870912,-1.7991464138031006,-3.086117458343507,-0.9553318023681641,0.507892603884299,0.9167303182184696,-2.171934744482858,-0.9565504780475749
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,90,PS,12186,13246,18000,0.05888888888888888,-1.207620245725174,-1.635704517364502,-1.787879848480225,-4.61079216003418,-1.2014381277138977,-1.3076541423797607,-1.6656847953796383,-3.8820056915283203,0.00618211801127444,0.08648127317428589,-1.763201834261416,-4.4045790911477525
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,90,NS,48285,43157,90000,-0.05697777777777774,-2.0430539611620935,-2.1618387699127197,-2.920740890502927,-6.832292556762695,-1.478436748229675,-1.5008020401000977,-2.750100135803219,-8.57883071899414,0.564617212932419,0.5943255424499512,-0.7146848201751705,-5.751091357307359
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,100,RS,7183,8177,10000,0.09939999999999993,-1.813725634341798,-1.897676944732666,-3.775942993164062,-6.3155517578125,-1.4729879720236871,-1.5957598686218262,-2.6590372085571303,-4.460052490234375,0.3407376623181104,0.4373123198747635,-2.2647889833431716,-4.460642759455396
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,100,PS,13530,14460,20000,0.046499999999999986,-0.7829871295171227,-0.9517457485198975,-1.3402854919433569,-3.5899009704589844,-0.9220960140930607,-1.073922872543335,-1.3524380683898993,-4.916358947753906,-0.13910888457593762,-0.10305079817771912,-1.8286734275519851,-6.737760933588561
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,100,NS,53287,48425,100000,-0.04861999999999994,-1.7366587178842874,-1.8282105922698975,-2.603320026397707,-8.967378616333008,-1.1511771118368994,-1.296433448791504,-2.1349149703979506,-10.836191177368164,0.585481606047388,0.5454602241516113,-0.8446212291717474,-7.6811496048321715
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,1,RS,95,75,100,-0.19999999999999996,1.5638128928566584,0.6302376221865416,4.2739896893501275,4.406233787536621,-4.623097157096491,-5.161272287368774,-4.913805866241448,-8.902960777282715,-6.186910049953148,-6.882811670424417,-6.227161886868997,-9.292852039216086
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,1,PS,168,97,200,-0.355,2.3531612602504905,3.4510998725891113,2.7808314323425307,2.997730255126953,-2.73644757735543,-2.9725701808929443,-3.2238830566406254,-4.300294876098633,-5.089608837605919,-5.926452942891046,-4.180309677124025,-9.426568956580013
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,1,NS,882,880,1000,-0.0020000000000000018,-0.13677369515597704,-0.14270496368408203,-0.19859752655029084,0.029085159301757812,-0.12696882570208956,-0.1536242961883545,-0.28976850509643626,-0.4679069519042969,0.009804869453888365,0.011540412902832031,0.0478110074996943,0.7752807140350342
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,5,RS,479,457,500,-0.04399999999999993,0.49459402812377085,0.06570748845115304,2.4594624876976017,-1.6395549774169922,-3.5437951172236355,-4.215668439865112,-3.4631240844726605,-0.9989204406738281,-4.038389145347407,-4.5930238558212295,-3.497468663461042,-1.0013335136463866
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,5,PS,874,713,1000,-0.16100000000000003,0.9125278846435538,1.2235153317451477,1.3624345779418956,4.095800399780273,-1.9168945657270955,-2.1693625450134277,-1.6297441482543924,-0.2968120574951172,-2.8294224503706498,-3.4431325858458877,-1.904982100520284,-0.32412928715348244
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,5,NS,4371,4242,5000,-0.025799999999999934,-0.964418063824624,-0.9555344581604004,-0.8991423606872573,-1.0717105865478516,-0.3404727198459092,-0.3806798458099365,-0.6171418190002491,-0.1437511444091797,0.6239453439787139,0.6605771780014038,0.5581147670745837,3.627333641052246
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,10,RS,968,937,1000,-0.030999999999999917,0.41433572628526605,0.041160050546750426,2.012310642004013,-0.33948326110839844,-3.0993464461388065,-3.2011656761169434,-3.056588268280029,-2.360261917114258,-3.5136821724240725,-3.6306541225058027,-3.139662396290806,-2.370972591743339
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,10,PS,1812,1458,2000,-0.17700000000000005,1.633017218613929,1.8933704793453217,2.83968296051025,7.992815017700195,-1.3276891993589244,-1.5519757270812988,-0.7648193359374993,5.292396545410156,-2.960706417972852,-3.3118420094251633,-1.90076996535063,-0.15124425288558996
