model,arm,k,L_base,L_endpoint,rho_old_signed,rho_finite_signed,rho_write,predicted,actual,realization_ratio,next_W_full6_nll,target_new_loss,target_displacement_norm,lag_norm,u_norm,q,selected_P,selected_capacity,cumulative_P,equality_residual,full_residual_identity_residual,h_velocity_identity_residual,remaining_divisions,fresh_divisions,lag_divisions,semantic_debt_inputs,physical_h_applications,second_h_applications,finite_endpoint_forwards,finite_endpoint_backwards,field_sha256,accepted_identity_sha256
Llama,Soft,3,3.2929966777563093,1.1607964208349586,2.53748280271265,2.132200256921351,2.132200256921351,2.132200256921351,1.8630946503952144,0.8737897129251979,1.429902027361095,2.8229252278804777,2.50748732256876,3.0711640826056983,4.180188244602989,13.052407503128052,0.0009129324770294929,0.09247884445352549,0.0009129324770294929,0.0,0.0,0.0,0,0,0,0,1,0,5,0,a646c62e081fc7a925a4a8e0e7ad243776e544cbd72f73825392de790ffccef1,784774d792bb5f466f0e2e84c6714ab35a9b2dc73dd2a8571ebf724e54ac217f
Llama,Soft,4,1.429902027361095,0.523248943220824,1.712241498521443,0.9066530841402709,0.9066530841402709,0.906653084140271,0.6400974143296481,0.7060003716150275,0.7898046130314469,1.162480734102428,2.507487321333249,3.2874595391068144,4.323067566877182,8.432995080947876,0.0012906958603107809,0.04402225518349887,0.0012906958603107809,1.1102230246251565e-16,0.0,0.0,0,0,0,0,1,0,5,0,c5f0d7ee363150a883ef177c70460510ffbe6d2080c5d8a7d5505daa8d0d47e7,1bfa480796713806812df61ae82eedf7c06ad858a5e2fb84586da62e91e1fc43
Llama,Soft,5,0.7898046130314469,0.32619423714932055,0.6201099214099269,0.46361037588212634,0.46361037588212634,0.46361037588212634,0.3191942445468157,0.6884967661450331,0.47061036848463117,0.522569484449923,2.2427648443572745,3.4116234871600213,4.185525851899209,3.8251452445983887,0.0018402131629846933,0.05304356350237855,0.0018402131629846933,0.0,0.0,0.0,0,0,0,0,1,0,5,0,be5ec26e1cd4c2b62fa3b3bfe6420fb11e232815db7100365095b9ec8a70a11b,d9464e661cab341aedf9069c729e75d1d6db0b04f45488bfd3d4b5e7ec040b8e
Llama,Soft,6,0.47061036848463117,0.16922875861637293,0.57189925067103,0.30138160986825824,0.30138160986825824,0.30138160986825824,0.2125696554780006,0.7053172739047185,0.25804071300663056,0.3270360179245472,1.7730612931442278,3.3149201166142657,3.8653401364161124,2.775732070207596,0.0023622266626562713,0.03669800520358528,0.0023622266626562713,0.0,0.0,0.0,0,0,0,0,1,0,5,0,de490fe45c00690eac426fdaf340e3e18e96f0f3332c5a277ddf6a6a13b52b49,0ec74d46ee03f21834e1450eb04f927b613a835b81ec80333e6247fd614e83e8
Llama,Soft,7,0.25804071300663056,0.09890143178636208,0.33393164689961463,0.1591392812202685,0.1591392812202685,0.1591392812202685,0.11812251529190693,0.7422586955615845,0.13991819771472364,0.17738225356442855,1.5858742275830973,3.2616193487340768,3.6743999978703523,1.514063611626625,0.002851395036053285,0.0316979072154504,0.002851395036053285,0.0,0.0,0.0,0,0,0,0,1,0,5,0,a77936297b7be79f5927e4da0787eaa6687803bc0ffc04ced4c176d42812eca9,49d5b1b966128a94c487b231922514e7b6098458e5db92645137aa0c13143d6e
Llama,Soft,8,0.13991819771472364,0.042105353402439503,0.830050818324207,0.09781284431228413,0.09781284431228413,0.09781284431228413,0.05867400997085495,0.59985997118669,0.08124418774386868,0.1023446453618817,1.5858742235966383,3.070997719358209,3.3796950925819274,1.3395016193389893,0.00316229202807938,0.013032871615327726,0.00316229202807938,0.0,0.0,0.0,0,0,0,0,1,0,5,0,2320b8e1ae8d04f70beb14295775f80ddb7ec9b70b69051ac27b79f0b67c90ad,757320383b9fdf036ac2232aa02b2be37aab54d97894457ca89d344b303f6531
Qwen,Neutral,1,9.309227561950683,5.915344500541687,10.771235182991626,3.393883061408996,3.393883061408996,3.393883061408996,1.6598610877990723,0.48907433101406844,7.649366474151611,9.309227561950683,27.400415153768137,0.0,27.400415153768137,42.562697887420654,0.0009965200270775347,0.0552795448919229,0.0009965200270775347,0.0,0.0,0.0,0,0,0,0,1,0,5,0,8982982834a6c77a48fb97fa5a343c3a766f1b7a78d31fb0306768b20a9c500b,2e26c33259cdaa485bde1cf6b541dc3a5156eb95b6a2e593d60495cb9a679597
Qwen,Neutral,2,7.649366474151611,2.97144351452589,5.732332673793188,4.677922959625721,4.677922959625721,4.677922959625721,3.8556257784366603,0.8242174596958997,3.7937406957149507,5.920544815063477,27.40041513816339,22.71985105960974,39.438972236199156,28.14680528640747,0.014091177204849186,0.5093431683727603,0.014091177204849186,0.0,0.0,0.0,0,0,0,0,1,0,5,0,b728b8805dd99a653911413f44412367526dc2e1bc8455f187aa0c14895e8015,be78cd11d4a69b7e5fb11d04bf8e1aad0543da4be2c00d93469e982709afbdfa
Qwen,Neutral,3,3.7937406957149507,1.1296555384993554,5.035870261526936,2.6640851572155952,2.6640851572155952,2.6640851572155952,1.9919468291103841,0.7477038876608384,1.8017938666045665,2.9000181019306184,27.400415157522016,32.47966057205335,44.020376663834554,20.373285055160522,0.029400268215501013,0.482605761400686,0.029400268215501013,0.0,0.0,0.0,0,0,0,0,1,0,5,0,be4ab97a34a2adf154b560f3ed9fdcbe45c7091891528ba99d269de7a80a070a,0a42da654709cf380001f11e0da40a4b36238fcfa229bba6b3de289cfd6e0887
Qwen,Neutral,4,1.8017938666045665,0.7286721750162541,3.61136612328452,1.0731216915883124,1.0731216915883124,1.0731216915883124,0.9737160947639495,0.9073678245398791,0.828077771840617,1.166356686409563,25.99431624772884,34.81049767082576,44.606285914154874,12.896864414215088,0.04099077683073469,0.23483080994907798,0.04099077683073469,0.0,0.0,0.0,0,0,0,0,1,0,5,0,a715c0f62eee906175a1ce4018c58f59be80bfacf9178d616bb35be14506c411,e24ccf598bfb60121d68961cefc715f70856911bdd5d40295dbfb0689f9d9057
Qwen,Neutral,5,0.828077771840617,0.6907668785599526,3.2898702173413223,0.13731089328066448,0.13731089328066448,0.13731089328066448,0.11001911167986689,0.8012409580220686,0.7180586601607502,0.7167600979097187,24.50767640214854,35.5460088928793,43.20913226192341,7.481007754802704,0.04365166624521841,0.011099409597935107,0.04365166624521841,0.0,0.0,0.0,0,0,0,0,1,0,5,0,78f83e74cb03beba08bf37a14a444577d955e18dc9d51373d1f4bcaba34baf3c,56f6ea249471859c6e41a00ff6a2b76a8a71b2dbee4cf992a9f7d5d29758d1c8
Qwen,Neutral,6,0.7180586601607502,0.12300461563281714,4.628130751518965,0.595054044527933,0.595054044527933,0.595054044527933,0.39900721120648086,0.6705394491055848,0.3190514489542693,0.7033906933153048,21.224270368613055,41.215289704245045,45.76571096777569,6.70846700668335,0.06008615910739808,0.28006115906202916,0.06008615910739808,0.0,0.0,0.0,0,0,0,0,1,0,5,0,f3fb4752a5cb2c70176009e0d123f8b868e0f5d69ba7aadeee9ad7f92f88e0c3,fb692483b1c3463c4637423338d57933c3264d5cd5619d51506ad52284ba71ab
Qwen,Neutral,7,0.3190514489542693,0.1452140735811554,0.7360173870595983,0.1738373753731139,0.1738373753731139,0.1738373753731139,0.1449295250698924,0.83370750828463,0.1741219238843769,0.12085763186914847,15.007825476460859,37.14312633026584,40.47988905952775,4.594447433948517,0.06709511119216723,0.04196502931427122,0.06709511119216723,0.0,0.0,0.0,0,0,0,0,1,0,5,0,a544fa0541e98c9c165191e2122a3810f5477f3b192900647db13e2f6a150c2b,8c8d8b3d76d9ad8f3abb1e9a24a30bf7ff62e2b696481a282baf4a2675d7bb4e
Qwen,Neutral,8,0.1741219238843769,0.12879817325738258,2.0947758379991837,0.045323750626994314,0.045323750626994314,0.045323750626994314,0.03700951535720379,0.8165589750456649,0.1371124085271731,0.15008795399335212,12.2538381987465,37.35259155001792,38.52579306115825,1.7848091423511505,0.07180830984613881,0.017332963339143092,0.07180830984613881,0.0,0.0,0.0,0,0,0,0,1,0,5,0,8f3b95a49d8044c40e2e6eec1a500a653932e6ee3e03df864d2cdef0bc7929ca,a3898174958bf20fafb25a9fe77283a83919336f68a576203af7e594d24f1853
Qwen,Soft,1,9.309227561950683,5.915344500541687,10.771235182991626,3.393883061408996,3.393883061408996,3.393883061408996,1.6476806163787838,0.48548538254416207,7.661546945571899,9.309227561950683,27.400415153768137,0.0,27.400415153768137,42.562697887420654,0.0008572502241424054,0.041571281018750295,0.0008572502241424054,0.0,0.0,0.0,0,0,0,0,1,0,5,0,f5dc9dbb560ffb443fbd8337255788fdaa21c870c4f4d08a7a419e67e0b62ddb,ccb42910de81b8cf5dd10e257dbf9d91203008d7ead332415009930f232ec9bd
Qwen,Soft,2,7.661546945571899,2.996943210810423,5.73584172495258,4.664603734761476,4.664603734761476,4.664603734761476,3.900835946202278,0.8362630928607508,3.7607109993696213,5.924772644042969,27.40041513629629,22.246693514655956,39.14947154545504,28.01328706741333,0.011958090403766835,0.36935497134594997,0.011958090403766835,0.0,0.0,0.0,0,0,0,0,1,0,5,0,488eb325928eb1460ceeeac81e319b8084c1ea7bfe2aacff272ea05c17dd647f,be56e57add8a041d6603247694f01d4b9c575f79795e0feeff329aa8584cbb0e
Qwen,Soft,3,3.7607109993696213,1.1812672872561962,4.9745700645592015,2.579443712113425,2.579443712113425,2.579443712113425,1.9744443256407975,0.7654535419275745,1.7862666737288238,2.917817022651434,27.400415150370822,28.09205834346909,40.86376278980237,20.254129886627197,0.02336035709122571,0.2722994366325778,0.02336035709122571,0.0,0.0,0.0,0,0,0,0,1,0,5,0,ea6843366ad67d9dfecb1992d0b56f70608640281b9bcc217bd6a8a2ce4ef679,5ebb5d857bcfe841ca6604bce7bb7df57245cc8c3517f13fa5c6f93aa6d93fbb
Qwen,Soft,4,1.7862666737288238,0.6718201593030244,3.482088711230624,1.1144465144257993,1.1144465144257993,1.1144465144257993,0.9693229472264648,0.869779693038946,0.8169437265023589,1.2058490131981672,25.99431619721641,29.957544787006395,41.011781239661225,12.845546007156372,0.03250035313621002,0.1303157406750311,0.03250035313621002,0.0,0.0,0.0,0,0,0,0,1,0,5,0,26b286382c801d758c9cd3fdff8138137f664e74e04dc50da1e549e5832e4f89,cceb76d996b209e2716bf0f6c29cf691d00d6ffccb77cdcde7a41f653774e6d7
Qwen,Soft,5,0.8169437265023589,0.6891356706095394,3.814383980946751,0.12780805589281952,0.12780805589281952,0.12780805589281952,0.11657560355961327,0.9121146765307349,0.7003681229427456,0.6522581396158784,24.50767636597778,31.67067587725555,40.09578604552277,6.5860971212387085,0.034572081319748496,0.0071439637156996815,0.034572081319748496,0.0,0.0,0.0,0,0,0,0,1,0,5,0,0add8138c3d3763e9fa6774ec3c178d4666915e178d4ca86499054ee05e9758a,0576d8e6030df621a7f186bc26e5ee3bef08460d98feb43a9682852273e7296d
Qwen,Soft,6,0.7003681229427456,0.11683140390086919,4.547726085240086,0.5835367190418764,0.5835367190418764,0.5835367190418765,0.39109725239686666,0.6702187533945573,0.309270870545879,0.6855684506474062,21.224270322694768,37.83931807172935,42.86927609423423,6.1509493589401245,0.04758052277003155,0.17822009173814318,0.04758052277003155,1.1102230246251565e-16,0.0,0.0,0,0,0,0,1,0,5,0,ec71b4054436b897539502003c85bc2c4a9cdd68e07c3d7d2b5c135eede03d2b,f21ef442f1998db973d76d03254da7cf02e1ee293a3bf41e3407e331667ec412
Qwen,Soft,7,0.309270870545879,0.1473639230709523,0.8759149342272494,0.16190694747492668,0.16190694747492668,0.16190694747492668,0.13688180008903145,0.8454349996894597,0.17238907045684754,0.1143983968300745,19.37501936078548,32.39087639122247,37.99619565908147,5.217302083969116,0.05169525421741216,0.01632933996434897,0.05169525421741216,0.0,0.0,0.0,0,0,0,0,1,0,5,0,faaa5193c8725e956876e49eb7c459fed8cf709b6de736cb05ecad895e6b3c5a,00f22ba6b068ffc48647dc41875d8bdd25324a8826c70283e0a09bc6242281eb
Qwen,Soft,8,0.17238907045684754,0.03989206390688196,1.6945864973643048,0.13249700654996557,0.13249700654996557,0.13249700654996557,0.09418652728199958,0.7108577750885351,0.07820254317484795,0.14493491636822,12.253838125334726,35.018889850001614,36.06385327256285,2.1360111385583878,0.060133324443603885,0.05766241970858634,0.060133324443603885,0.0,0.0,0.0,0,0,0,0,1,0,5,0,78c14b035b282ca124614f1cd132a2519b5b03c8bbddb40f4c3dee02f3060385,6ab1daaadecccc8cbe3fef98e88bac78af533291866c86b518460c0f9f800de1
