model,method,batch_index,layer,frobenius_energy,energy_share,total_frobenius_energy
qwen2.5-7b-inst,memit,1,5,105.0456509940566,0.20636399484816664,509.030904695097
qwen2.5-7b-inst,memit,1,6,26.26828350417908,0.05160449643015967,509.030904695097
qwen2.5-7b-inst,memit,1,7,40.0921534502671,0.07876172758956902,509.030904695097
qwen2.5-7b-inst,memit,1,8,48.07618281979318,0.09444649111941485,509.030904695097
qwen2.5-7b-inst,memit,2,4,271.92617108575473,0.5733426344064362,474.2821391039085
qwen2.5-7b-inst,memit,2,5,98.46227294604746,0.2076027428148117,474.2821391039085
qwen2.5-7b-inst,memit,2,6,19.06135604663682,0.0401899090753252,474.2821391039085
qwen2.5-7b-inst,memit,2,7,37.69745565479129,0.0794831863709131,474.2821391039085
qwen2.5-7b-inst,memit,2,8,47.1348833706782,0.09938152733251382,474.2821391039085
qwen2.5-7b-inst,memit,3,4,110.89568914261204,0.4331443823802284,256.0247659988446
qwen2.5-7b-inst,memit,3,5,67.39309335401225,0.2632288055848331,256.0247659988446
qwen2.5-7b-inst,memit,3,6,15.6403199888485,0.06108909006450994,256.0247659988446
qwen2.5-7b-inst,memit,3,7,27.67088914585211,0.10807895493194977,256.0247659988446
qwen2.5-7b-inst,memit,3,8,34.42477436751969,0.13445876703847878,256.0247659988446
qwen2.5-7b-inst,memit,4,4,511.22246755840143,0.6823085918356305,749.2540379464486
qwen2.5-7b-inst,memit,4,5,111.35981662655276,0.14862758288466102,749.2540379464486
qwen2.5-7b-inst,memit,4,6,28.51544268856828,0.03805844379127172,749.2540379464486
qwen2.5-7b-inst,memit,4,7,43.313641626883374,0.057809019949491586,749.2540379464486
qwen2.5-7b-inst,memit,4,8,54.84266944604266,0.07319636153894499,749.2540379464486
qwen2.5-7b-inst,memit,5,4,326.1750744242915,0.5705176646439624,571.7177479996952
qwen2.5-7b-inst,memit,5,5,123.61324819073548,0.21621376741098017,571.7177479996952
qwen2.5-7b-inst,memit,5,6,24.68706940950726,0.04318051957610457,571.7177479996952
qwen2.5-7b-inst,memit,5,7,43.26851293040118,0.07568159827430133,571.7177479996952
qwen2.5-7b-inst,memit,5,8,53.97384304475981,0.09440645009465157,571.7177479996952
qwen2.5-7b-inst,memit,6,4,356.54016031585536,0.5871405754319866,607.2483749799309
qwen2.5-7b-inst,memit,6,5,125.16953986739819,0.20612577163592236,607.2483749799309
qwen2.5-7b-inst,memit,6,6,26.064694089901764,0.042922624685102176,607.2483749799309
qwen2.5-7b-inst,memit,6,7,45.97637030632977,0.07571262798002425,607.2483749799309
qwen2.5-7b-inst,memit,6,8,53.49761040044584,0.08809840026696474,607.2483749799309
qwen2.5-7b-inst,memit,7,4,695.2183821754204,0.7640163809882032,909.9521940566284
qwen2.5-7b-inst,memit,7,5,96.44661096378556,0.1059908548973546,909.9521940566284
qwen2.5-7b-inst,memit,7,6,23.522037089220348,0.025849750396619756,909.9521940566284
qwen2.5-7b-inst,memit,7,7,40.28446538889552,0.04427096901575087,909.9521940566284
qwen2.5-7b-inst,memit,7,8,54.48069843930651,0.05987204470207151,909.9521940566284
qwen2.5-7b-inst,memit,8,4,271.09970363533927,0.5646334221187006,480.13400024759267
qwen2.5-7b-inst,memit,8,5,107.83835746942933,0.22460054362702886,480.13400024759267
qwen2.5-7b-inst,memit,8,6,19.67745182111436,0.04098325011552443,480.13400024759267
qwen2.5-7b-inst,memit,8,7,35.65110699702484,0.07425241074083587,480.13400024759267
